name,description,source,frequency,geography
ActivityLicensesPhilly,Commercial activity licenses for the City of Philadelphia,carto,monthly,Philadelphia
BizLicensesPhilly,Business licenses for the City of Philadelphia,carto,monthly,Philadelphia
BuildingPermitsPhilly,New construction permits for the City of Philadelphia,carto,monthly,Philadelphia
DeedTransfersPhilly,Deed real estate transfers for the City of Philadelphia,carto,monthly,Philadelphia
10YearTreasury,10-Year Treasury Constant Maturity Rate,fred,monthly,national
3MonthTreasury,3-Month Treasury Bill: Secondary Market Rate,fred,monthly,national
AlcoholSales,"Retail Sales: Beer, Wine, and Liquor Stores",fred,quarterly,national
BuildingPermitsPhillyMSA,"New Private Housing Units Authorized by Building Permits for Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",fred,quarterly,Philadelphia MSA
CPIPhillyMSA,"Consumer Price Index for All Urban Consumers: All Items in Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",fred,monthly,Philadelphia MSA
CPIU,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,fred,monthly,national
CarSales,Total Vehicle Sales,fred,daily,national
ConsumerConfidence,Consumer Opinion Surveys: Confidence Indicators: Composite Indicators: OECD Indicator for the United States,fred,monthly,national
ContinuedClaimsPA,Continued Claims (Insured Unemployment) in Pennsylvania,fred,weekly,state
CorporateProfits,Corporate Profits with Inventory Valuation Adjustment (IVA) and Capital Consumption Adjustment (CCAdj),fred,quarterly,national
EconomicConditionsPhillyMSA,"Economic Conditions Index for Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",fred,monthly,Philadelphia MSA
EmploymentCostIndex,Employment Cost Index: Wages and Salaries: Private Industry Workers,fred,quarterly,national
FHFAHousePriceIndex,Purchase Only House Price Index for the United States,fred,quarterly,national
FedFundsRate,Effective Federal Funds Rate,fred,monthly,national
GDP,Gross Domestic Product,fred,quarterly,national
GDPPriceIndex,Gross Domestic Product: Chain-type Price Index,fred,quarterly,national
GovtSocialBenefits,Federal government current transfer payments: Government social benefits: to persons,fred,quarterly,national
HousePriceIndexPhillyMSA,"All-Transactions House Price Index for Philadelphia, PA (MSAD)",fred,quarterly,Philadelphia MSA
HousingStarts,Housing Starts: Total: New Privately Owned Housing Units Started,fred,monthly,national
HousingSupply,Monthly Supply of Houses in the United States,fred,monthly,national
InitialClaimsPA,Initial Claims in Pennsylvania,fred,weekly,state
JobOpenings,Job Openings: Total Nonfarm,fred,monthly,national
ManufacturingHoursWorked,Weekly Hours Worked: Manufacturing for the United States,fred,quarterly,national
NYCGasPrice,"Conventional Gasoline Prices: New York Harbor, Regular",fred,daily,national
NewManufacturingOrders,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,fred,monthly,national
NonfarmEmployeesPhilly,"All Employees: Total Nonfarm in Philadelphia City, PA",fred,monthly,Philadelphia
