Date,PopulationPhilly
1970-01-01,1949.996
1971-01-01,1928.7
1972-01-01,1893.1
1973-01-01,1849.6
1974-01-01,1824.2
1975-01-01,1793.2
1976-01-01,1770.0
1977-01-01,1746.2
1978-01-01,1725.3
1979-01-01,1711.1
1980-01-01,1688.21
1981-01-01,1670.76
1982-01-01,1658.843
1983-01-01,1650.08
1984-01-01,1638.962
1985-01-01,1634.802
1986-01-01,1637.792
1987-01-01,1639.157
1988-01-01,1627.504
1989-01-01,1607.303
1990-01-01,1584.293
1991-01-01,1580.746
1992-01-01,1575.597
1993-01-01,1573.812
1994-01-01,1568.6
1995-01-01,1556.146
1996-01-01,1541.692
1997-01-01,1531.923
1998-01-01,1525.955
1999-01-01,1520.064
2000-01-01,1513.674
2001-01-01,1512.396
2002-01-01,1510.606
2003-01-01,1510.884
2004-01-01,1514.845
2005-01-01,1517.595
2006-01-01,1519.895
2007-01-01,1529.253
2008-01-01,1540.351
2009-01-01,1549.564
2010-01-01,1528.303
2011-01-01,1540.615
2012-01-01,1552.087
2013-01-01,1558.713
2014-01-01,1565.949
2015-01-01,1571.679
2016-01-01,1576.604
2017-01-01,1581.699
2018-01-01,1586.422
2019-01-01,1584.439
2020-01-01,1578.487
