Date,BizLicensesPhilly
2007-01-01,1159
2007-02-01,1411
2007-03-01,1592
2007-04-01,867
2007-05-01,981
2007-06-01,584
2007-07-01,678
2007-08-01,461
2007-09-01,521
2007-10-01,469
2007-11-01,388
2007-12-01,395
2008-01-01,841
2008-02-01,2259
2008-03-01,1916
2008-04-01,1763
2008-05-01,1017
2008-06-01,583
2008-07-01,616
2008-08-01,572
2008-09-01,605
2008-10-01,491
2008-11-01,455
2008-12-01,416
2009-01-01,467
2009-02-01,1413
2009-03-01,1275
2009-04-01,926
2009-05-01,660
2009-06-01,486
2009-07-01,482
2009-08-01,383
2009-09-01,620
2009-10-01,557
2009-11-01,417
2009-12-01,478
2010-01-01,662
2010-02-01,1166
2010-03-01,1491
2010-04-01,916
2010-05-01,563
2010-06-01,600
2010-07-01,719
2010-08-01,667
2010-09-01,441
2010-10-01,467
2010-11-01,310
2010-12-01,236
2011-01-01,515
2011-02-01,1483
2011-03-01,1405
2011-04-01,1040
2011-05-01,609
2011-06-01,544
2011-07-01,558
2011-08-01,616
2011-09-01,597
2011-10-01,458
2011-11-01,366
2011-12-01,304
2012-01-01,1199
2012-02-01,1979
2012-03-01,1915
2012-04-01,1103
2012-05-01,1342
2012-06-01,686
2012-07-01,855
2012-08-01,683
2012-09-01,543
2012-10-01,1030
2012-11-01,938
2012-12-01,725
2013-01-01,924
2013-02-01,2937
2013-03-01,1974
2013-04-01,1816
2013-05-01,1178
2013-06-01,997
2013-07-01,2919
2013-08-01,2917
2013-09-01,851
2013-10-01,993
2013-11-01,534
2013-12-01,879
2014-01-01,894
2014-02-01,3107
2014-03-01,5752
2014-04-01,1650
2014-05-01,1511
2014-06-01,863
2014-07-01,773
2014-08-01,1000
2014-09-01,817
2014-10-01,769
2014-11-01,495
2014-12-01,554
2015-01-01,615
2015-02-01,1369
2015-03-01,3897
2015-04-01,2437
2015-05-01,2876
2015-06-01,1125
2015-07-01,1103
2015-08-01,832
2015-09-01,1119
2015-10-01,1140
2015-11-01,562
2015-12-01,735
2016-01-01,804
2016-02-01,2371
2016-03-01,2837
2016-04-01,1534
2016-05-01,1381
2016-06-01,1171
2016-07-01,1209
2016-08-01,1290
2016-09-01,914
2016-10-01,731
2016-11-01,918
2016-12-01,1082
2017-01-01,886
2017-02-01,2010
2017-03-01,3738
2017-04-01,1779
2017-05-01,1377
2017-06-01,1337
2017-07-01,1081
2017-08-01,940
2017-09-01,898
2017-10-01,789
2017-11-01,785
2017-12-01,677
2018-01-01,1317
2018-02-01,2319
2018-03-01,1916
2018-04-01,1532
2018-05-01,1528
2018-06-01,1200
2018-07-01,1108
2018-08-01,993
2018-09-01,953
2018-10-01,1120
2018-11-01,883
2018-12-01,991
2019-01-01,1543
2019-02-01,3278
2019-03-01,2631
2019-04-01,2515
2019-05-01,2108
2019-06-01,1411
2019-07-01,1264
2019-08-01,1551
2019-09-01,1517
2019-10-01,1393
2019-11-01,1330
2019-12-01,1194
2020-01-01,1964
2020-02-01,5295
2020-03-01,4270
2020-04-01,1755
2020-05-01,1974
2020-06-01,3090
2020-07-01,3886
2020-08-01,4551
2020-09-01,4545
2020-10-01,3933
2020-11-01,3453
2020-12-01,4842
2021-01-01,11269
2021-02-01,19400
2021-03-01,15422
2021-04-01,9793
2021-05-01,7163
2021-06-01,5866
