Date,BuildingPermitsPhilly
2007-01-01,64
2007-02-01,120
2007-03-01,80
2007-04-01,106
2007-05-01,93
2007-06-01,96
2007-07-01,166
2007-08-01,69
2007-09-01,107
2007-10-01,100
2007-11-01,99
2007-12-01,128
2008-01-01,75
2008-02-01,140
2008-03-01,46
2008-04-01,82
2008-05-01,99
2008-06-01,65
2008-07-01,60
2008-08-01,124
2008-09-01,44
2008-10-01,116
2008-11-01,45
2008-12-01,40
2009-01-01,29
2009-02-01,48
2009-03-01,34
2009-04-01,99
2009-05-01,54
2009-06-01,52
2009-07-01,65
2009-08-01,37
2009-09-01,48
2009-10-01,109
2009-11-01,32
2009-12-01,82
2010-01-01,55
2010-02-01,31
2010-03-01,118
2010-04-01,94
2010-05-01,69
2010-06-01,103
2010-07-01,135
2010-08-01,90
2010-09-01,78
2010-10-01,50
2010-11-01,53
2010-12-01,62
2011-01-01,68
2011-02-01,50
2011-03-01,101
2011-04-01,61
2011-05-01,65
2011-06-01,61
2011-07-01,60
2011-08-01,67
2011-09-01,60
2011-10-01,59
2011-11-01,88
2011-12-01,65
2012-01-01,52
2012-02-01,68
2012-03-01,95
2012-04-01,110
2012-05-01,104
2012-06-01,55
2012-07-01,106
2012-08-01,82
2012-09-01,109
2012-10-01,73
2012-11-01,98
2012-12-01,87
2013-01-01,99
2013-02-01,81
2013-03-01,104
2013-04-01,132
2013-05-01,97
2013-06-01,94
2013-07-01,93
2013-08-01,96
2013-09-01,97
2013-10-01,89
2013-11-01,97
2013-12-01,101
2014-01-01,82
2014-02-01,62
2014-03-01,111
2014-04-01,135
2014-05-01,94
2014-06-01,119
2014-07-01,113
2014-08-01,96
2014-09-01,108
2014-10-01,141
2014-11-01,127
2014-12-01,106
2015-01-01,102
2015-02-01,107
2015-03-01,103
2015-04-01,154
2015-05-01,157
2015-06-01,144
2015-07-01,166
2015-08-01,156
2015-09-01,166
2015-10-01,121
2015-11-01,127
2015-12-01,106
2016-01-01,180
2016-02-01,133
2016-03-01,197
2016-04-01,209
2016-05-01,166
2016-06-01,253
2016-07-01,208
2016-08-01,193
2016-09-01,192
2016-10-01,130
2016-11-01,191
2016-12-01,160
2017-01-01,159
2017-02-01,150
2017-03-01,150
2017-04-01,205
2017-05-01,244
2017-06-01,212
2017-07-01,152
2017-08-01,198
2017-09-01,195
2017-10-01,222
2017-11-01,241
2017-12-01,155
2018-01-01,163
2018-02-01,163
2018-03-01,205
2018-04-01,230
2018-05-01,290
2018-06-01,230
2018-07-01,322
2018-08-01,289
2018-09-01,268
2018-10-01,292
2018-11-01,292
2018-12-01,315
2019-01-01,436
2019-02-01,309
2019-03-01,423
2019-04-01,444
2019-05-01,523
2019-06-01,481
2019-07-01,484
2019-08-01,560
2019-09-01,658
2019-10-01,575
2019-11-01,512
2019-12-01,608
2020-01-01,669
2020-02-01,598
2020-03-01,405
2020-04-01,127
2020-05-01,299
2020-06-01,323
2020-07-01,611
2020-08-01,595
2020-09-01,775
2020-10-01,808
2020-11-01,828
2020-12-01,767
2021-01-01,646
2021-02-01,646
2021-03-01,716
2021-04-01,680
2021-05-01,577
2021-06-01,757
2021-07-01,696
2021-08-01,645
2021-09-01,572
2021-10-01,576
2021-11-01,709
2021-12-01,1486
2022-01-01,476
2022-02-01,502
2022-03-01,630
2022-04-01,539
2022-05-01,577
2022-06-01,574
2022-07-01,540
2022-08-01,689
2022-09-01,557
2022-10-01,499
2022-11-01,487
2022-12-01,589
2023-01-01,529
2023-02-01,475
2023-03-01,561
2023-04-01,492
2023-05-01,645
2023-06-01,57
