Date,DeedTransfersPhilly
1974-01-01,11
1974-02-01,8
1974-03-01,6
1974-04-01,15
1974-05-01,15
1974-06-01,16
1974-07-01,21
1974-08-01,18
1974-09-01,11
1974-10-01,9
1974-11-01,26
1974-12-01,10
1975-01-01,18
1975-02-01,13
1975-03-01,14
1975-04-01,21
1975-05-01,19
1975-06-01,19
1975-07-01,13
1975-08-01,29
1975-09-01,12
1975-10-01,14
1975-11-01,19
1975-12-01,32
1976-01-01,12
1976-02-01,20
1976-03-01,9
1976-04-01,17
1976-05-01,34
1976-06-01,28
1976-07-01,18
1976-08-01,12
1976-09-01,14
1976-10-01,17
1976-11-01,421
1976-12-01,41
1977-01-01,23
1977-02-01,15
1977-03-01,33
1977-04-01,9
1977-05-01,35
1977-06-01,25
1977-07-01,20
1977-08-01,16
1977-09-01,28
1977-10-01,26
1977-11-01,26
1977-12-01,33
1978-01-01,129
1978-02-01,12
1978-03-01,38
1978-04-01,22
1978-05-01,118
1978-06-01,49
1978-07-01,41
1978-08-01,19
1978-09-01,33
1978-10-01,13
1978-11-01,59
1978-12-01,38
1979-01-01,21
1979-02-01,55
1979-03-01,95
1979-04-01,194
1979-05-01,57
1979-06-01,334
1979-07-01,34
1979-08-01,38
1979-09-01,1538
1979-10-01,30
1979-11-01,30
1979-12-01,47
1980-01-01,20
1980-02-01,30
1980-03-01,27
1980-04-01,19
1980-05-01,74
1980-06-01,18
1980-07-01,99
1980-08-01,44
1980-09-01,27
1980-10-01,49
1980-11-01,38
1980-12-01,59
1981-01-01,227
1981-02-01,463
1981-03-01,84
1981-04-01,156
1981-05-01,122
1981-06-01,575
1981-07-01,22
1981-08-01,262
1981-09-01,28
1981-10-01,20
1981-11-01,196
1981-12-01,312
1982-01-01,12
1982-02-01,20
1982-03-01,22
1982-04-01,262
1982-05-01,216
1982-06-01,127
1982-07-01,41
1982-08-01,28
1982-09-01,25
1982-10-01,32
1982-11-01,18
1982-12-01,385
1983-01-01,13
1983-02-01,17
1983-03-01,13
1983-04-01,56
1983-05-01,188
1983-06-01,73
1983-07-01,17
1983-08-01,27
1983-09-01,24
1983-10-01,23
1983-11-01,32
1983-12-01,82
1984-01-01,33
1984-02-01,23
1984-03-01,32
1984-04-01,155
1984-05-01,25
1984-06-01,143
1984-07-01,207
1984-08-01,112
1984-09-01,48
1984-10-01,25
1984-11-01,145
1984-12-01,40
1985-01-01,25
1985-02-01,31
1985-03-01,17
1985-04-01,182
1985-05-01,238
1985-06-01,304
1985-07-01,213
1985-08-01,228
1985-09-01,37
1985-10-01,25
1985-11-01,17
1985-12-01,42
1986-01-01,27
1986-02-01,18
1986-03-01,37
1986-04-01,11
1986-05-01,101
1986-06-01,73
1986-07-01,42
1986-08-01,167
1986-09-01,31
1986-10-01,268
1986-11-01,27
1986-12-01,125
1987-01-01,22
1987-02-01,36
1987-03-01,13
1987-04-01,27
1987-05-01,42
1987-06-01,20
1987-07-01,17
1987-08-01,17
1987-09-01,16
1987-10-01,33
1987-11-01,11
1987-12-01,33
1988-01-01,10
1988-02-01,20
1988-03-01,13
1988-04-01,579
1988-05-01,26
1988-06-01,148
1988-07-01,73
1988-08-01,77
1988-09-01,14
1988-10-01,19
1988-11-01,11
1988-12-01,16
1989-01-01,42
1989-02-01,18
1989-03-01,10
1989-04-01,6
1989-05-01,60
1989-06-01,24
1989-07-01,15
1989-08-01,18
1989-09-01,16
1989-10-01,9
1989-11-01,17
1989-12-01,28
1990-01-01,6
1990-02-01,8
1990-03-01,23
1990-04-01,9
1990-05-01,14
1990-06-01,12
1990-07-01,52
1990-08-01,12
1990-09-01,6
1990-10-01,14
1990-11-01,14
1990-12-01,9
1991-01-01,22
1991-02-01,32
1991-03-01,13
1991-04-01,11
1991-05-01,7
1991-06-01,8
1991-07-01,41
1991-08-01,6
1991-09-01,11
1991-10-01,6
1991-11-01,14
1991-12-01,53
1992-01-01,39
1992-02-01,14
1992-03-01,15
1992-04-01,11
1992-05-01,13
1992-06-01,21
1992-07-01,9
1992-08-01,17
1992-09-01,21
1992-10-01,6
1992-11-01,11
1992-12-01,15
1993-01-01,2
1993-02-01,8
1993-03-01,4
1993-04-01,14
1993-05-01,5
1993-06-01,18
1993-07-01,4
1993-08-01,24
1993-09-01,11
1993-10-01,7
1993-11-01,12
1993-12-01,11
1994-01-01,27
1994-02-01,14
1994-03-01,4
1994-04-01,13
1994-05-01,9
1994-06-01,7
1994-07-01,45
1994-08-01,6
1994-09-01,13
1994-10-01,8
1994-11-01,56
1994-12-01,9
1995-01-01,20
1995-02-01,26
1995-03-01,15
1995-04-01,1
1995-05-01,30
1995-06-01,54
1995-07-01,11
1995-08-01,13
1995-09-01,24
1995-10-01,3
1995-11-01,13
1995-12-01,10
1996-01-01,7
1996-02-01,17
1996-03-01,16
1996-04-01,11
1996-05-01,24
1996-06-01,9
1996-07-01,7
1996-08-01,9
1996-09-01,46
1996-10-01,5
1996-11-01,31
1996-12-01,33
1997-01-01,58
1997-02-01,15
1997-03-01,18
1997-04-01,21
1997-05-01,67
1997-06-01,12
1997-07-01,32
1997-08-01,44
1997-09-01,23
1997-10-01,6
1997-11-01,9
1997-12-01,15
1998-01-01,37
1998-02-01,12
1998-03-01,36
1998-04-01,8
1998-05-01,13
1998-06-01,10
1998-07-01,19
1998-08-01,19
1998-09-01,17
1998-10-01,9
1998-11-01,11
1998-12-01,54
1999-01-01,14
1999-02-01,21
1999-03-01,23
1999-04-01,25
1999-05-01,19
1999-06-01,8
1999-07-01,99
1999-08-01,16
1999-09-01,22
1999-10-01,24
1999-11-01,37
1999-12-01,3101
2000-01-01,2907
2000-02-01,2911
2000-03-01,3762
2000-04-01,3044
2000-05-01,3423
2000-06-01,4019
2000-07-01,2794
2000-08-01,3569
2000-09-01,3146
2000-10-01,3625
2000-11-01,3386
2000-12-01,3395
2001-01-01,3553
2001-02-01,2709
2001-03-01,3173
2001-04-01,3012
2001-05-01,3543
2001-06-01,3663
2001-07-01,3472
2001-08-01,3885
2001-09-01,3041
2001-10-01,3901
2001-11-01,3537
2001-12-01,3146
2002-01-01,3661
2002-02-01,3041
2002-03-01,3539
2002-04-01,3880
2002-05-01,3770
2002-06-01,3997
2002-07-01,4022
2002-08-01,3934
2002-09-01,3561
2002-10-01,3994
2002-11-01,3288
2002-12-01,3540
2003-01-01,3853
2003-02-01,3136
2003-03-01,3527
2003-04-01,3593
2003-05-01,3583
2003-06-01,3689
2003-07-01,4451
2003-08-01,3867
2003-09-01,4414
2003-10-01,4163
2003-11-01,3780
2003-12-01,4148
2004-01-01,4384
2004-02-01,4112
2004-03-01,4100
2004-04-01,4232
2004-05-01,4048
2004-06-01,4706
2004-07-01,4791
2004-08-01,4819
2004-09-01,4612
2004-10-01,4417
2004-11-01,4366
2004-12-01,5004
2005-01-01,4332
2005-02-01,3650
2005-03-01,4251
2005-04-01,4692
2005-05-01,5233
2005-06-01,5314
2005-07-01,4625
2005-08-01,5796
2005-09-01,5420
2005-10-01,5076
2005-11-01,4478
2005-12-01,4477
2006-01-01,4668
2006-02-01,4078
2006-03-01,4527
2006-04-01,4531
2006-05-01,5240
2006-06-01,5064
2006-07-01,4999
2006-08-01,4930
2006-09-01,4247
2006-10-01,4412
2006-11-01,4457
2006-12-01,3953
2007-01-01,4200
2007-02-01,3584
2007-03-01,4444
2007-04-01,3969
2007-05-01,4361
2007-06-01,4532
2007-07-01,4231
2007-08-01,4306
2007-09-01,3623
2007-10-01,3876
2007-11-01,3417
2007-12-01,3320
2008-01-01,3342
2008-02-01,2855
2008-03-01,2976
2008-04-01,3587
2008-05-01,3117
2008-06-01,3453
2008-07-01,3636
2008-08-01,3166
2008-09-01,3054
2008-10-01,2937
2008-11-01,2204
2008-12-01,2582
2009-01-01,2286
2009-02-01,1987
2009-03-01,2328
2009-04-01,2423
2009-05-01,2442
2009-06-01,2908
2009-07-01,3343
2009-08-01,2465
2009-09-01,2717
2009-10-01,2991
2009-11-01,2628
2009-12-01,2980
2010-01-01,2177
2010-02-01,1952
2010-03-01,2813
2010-04-01,2825
2010-05-01,2847
2010-06-01,3122
2010-07-01,3107
2010-08-01,2457
2010-09-01,2465
2010-10-01,2439
2010-11-01,2295
2010-12-01,2634
2011-01-01,2033
2011-02-01,2127
2011-03-01,2768
2011-04-01,2351
2011-05-01,2552
2011-06-01,2994
2011-07-01,2406
2011-08-01,2517
2011-09-01,2257
2011-10-01,2348
2011-11-01,2091
2011-12-01,2626
2012-01-01,2484
2012-02-01,2409
2012-03-01,2538
2012-04-01,2509
2012-05-01,2686
2012-06-01,2927
2012-07-01,2707
2012-08-01,2910
2012-09-01,2192
2012-10-01,2990
2012-11-01,2730
2012-12-01,2803
2013-01-01,2820
2013-02-01,2381
2013-03-01,2792
2013-04-01,3124
2013-05-01,3223
2013-06-01,3115
2013-07-01,3008
2013-08-01,3075
2013-09-01,2781
2013-10-01,3056
2013-11-01,2394
2013-12-01,2959
2014-01-01,2293
2014-02-01,2060
2014-03-01,2465
2014-04-01,2810
2014-05-01,2769
2014-06-01,3051
2014-07-01,3259
2014-08-01,2835
2014-09-01,2924
2014-10-01,3175
2014-11-01,2690
2014-12-01,2916
2015-01-01,2580
2015-02-01,2496
2015-03-01,2887
2015-04-01,2987
2015-05-01,2901
2015-06-01,3386
2015-07-01,3702
2015-08-01,3196
2015-09-01,3170
2015-10-01,3385
2015-11-01,3011
2015-12-01,3209
2016-01-01,2933
2016-02-01,2811
2016-03-01,3322
2016-04-01,3130
2016-05-01,3309
2016-06-01,4051
2016-07-01,3758
2016-08-01,3708
2016-09-01,3271
2016-10-01,3348
2016-11-01,3114
2016-12-01,3720
2017-01-01,3317
2017-02-01,2690
2017-03-01,3618
2017-04-01,3067
2017-05-01,4065
2017-06-01,4082
2017-07-01,3778
2017-08-01,4168
2017-09-01,3355
2017-10-01,3647
2017-11-01,3488
2017-12-01,3437
2018-01-01,3588
2018-02-01,2759
2018-03-01,3004
2018-04-01,3830
2018-05-01,4000
2018-06-01,3940
2018-07-01,3940
2018-08-01,3837
2018-09-01,3406
2018-10-01,3866
2018-11-01,3227
2018-12-01,3572
2019-01-01,3110
2019-02-01,2641
2019-03-01,3158
2019-04-01,3441
2019-05-01,3936
2019-06-01,3361
2019-07-01,3745
2019-08-01,3777
2019-09-01,3469
2019-10-01,3828
2019-11-01,3102
2019-12-01,3560
2020-01-01,3394
2020-02-01,2834
2020-03-01,4021
2020-04-01,1848
2020-05-01,1809
2020-06-01,1819
2020-07-01,2995
2020-08-01,3110
2020-09-01,3188
2020-10-01,3977
2020-11-01,3315
2020-12-01,3928
2021-01-01,3276
2021-02-01,2377
2021-03-01,2605
2021-04-01,3622
2021-05-01,3314
2021-06-01,3093
2021-07-01,2037
2021-08-01,2715
2021-09-01,2769
2021-10-01,2452
2021-11-01,2678
2021-12-01,6968
2022-01-01,6400
2022-02-01,5619
2022-03-01,6754
2022-04-01,5611
2022-05-01,4307
2022-06-01,4099
2022-07-01,3758
2022-08-01,3615
2022-09-01,3119
2022-10-01,2672
2022-11-01,2772
2022-12-01,2843
2023-01-01,2532
2023-02-01,300
