Date,NonfarmEmployeesPhilly
1990-01-01,757.8
1990-02-01,754.5
1990-03-01,754.3
1990-04-01,744.7
1990-05-01,749.6
1990-06-01,749.6
1990-07-01,748.5
1990-08-01,748.7
1990-09-01,745.5
1990-10-01,739.4
1990-11-01,737.4
1990-12-01,733.0
1991-01-01,728.8
1991-02-01,727.5
1991-03-01,725.3
1991-04-01,722.2
1991-05-01,716.5
1991-06-01,714.8
1991-07-01,706.1
1991-08-01,703.5
1991-09-01,707.3
1991-10-01,706.8
1991-11-01,705.1
1991-12-01,702.8
1992-01-01,702.8
1992-02-01,699.4
1992-03-01,698.0
1992-04-01,697.7
1992-05-01,697.2
1992-06-01,696.3
1992-07-01,699.9
1992-08-01,694.7
1992-09-01,691.7
1992-10-01,690.5
1992-11-01,689.2
1992-12-01,689.4
1993-01-01,694.9
1993-02-01,692.9
1993-03-01,688.3
1993-04-01,688.8
1993-05-01,690.0
1993-06-01,688.2
1993-07-01,689.4
1993-08-01,687.3
1993-09-01,685.2
1993-10-01,686.1
1993-11-01,686.6
1993-12-01,688.4
1994-01-01,690.0
1994-02-01,687.8
1994-03-01,689.6
1994-04-01,687.2
1994-05-01,688.4
1994-06-01,688.1
1994-07-01,688.4
1994-08-01,685.4
1994-09-01,686.9
1994-10-01,687.6
1994-11-01,686.4
1994-12-01,683.6
1995-01-01,679.9
1995-02-01,679.9
1995-03-01,679.2
1995-04-01,677.3
1995-05-01,676.7
1995-06-01,675.9
1995-07-01,673.8
1995-08-01,675.3
1995-09-01,675.0
1995-10-01,674.3
1995-11-01,672.8
1995-12-01,673.1
1996-01-01,669.4
1996-02-01,674.3
1996-03-01,676.2
1996-04-01,676.8
1996-05-01,675.5
1996-06-01,669.5
1996-07-01,675.0
1996-08-01,676.7
1996-09-01,676.0
1996-10-01,673.6
1996-11-01,672.2
1996-12-01,670.3
1997-01-01,666.7
1997-02-01,667.0
1997-03-01,666.1
1997-04-01,667.8
1997-05-01,664.8
1997-06-01,663.4
1997-07-01,666.4
1997-08-01,662.7
1997-09-01,669.5
1997-10-01,669.9
1997-11-01,672.8
1997-12-01,675.0
1998-01-01,674.6
1998-02-01,675.7
1998-03-01,674.1
1998-04-01,675.8
1998-05-01,676.8
1998-06-01,666.1
1998-07-01,670.0
1998-08-01,673.2
1998-09-01,672.7
1998-10-01,679.8
1998-11-01,682.0
1998-12-01,682.5
1999-01-01,678.8
1999-02-01,679.9
1999-03-01,680.4
1999-04-01,680.8
1999-05-01,684.2
1999-06-01,687.1
1999-07-01,685.1
1999-08-01,686.2
1999-09-01,685.4
1999-10-01,689.7
1999-11-01,690.6
1999-12-01,693.9
2000-01-01,698.0
2000-02-01,697.8
2000-03-01,697.6
2000-04-01,699.2
2000-05-01,701.0
2000-06-01,698.9
2000-07-01,698.4
2000-08-01,697.3
2000-09-01,696.9
2000-10-01,690.0
2000-11-01,688.2
2000-12-01,689.8
2001-01-01,694.4
2001-02-01,693.6
2001-03-01,693.5
2001-04-01,690.8
2001-05-01,687.6
2001-06-01,690.4
2001-07-01,688.3
2001-08-01,688.0
2001-09-01,685.6
2001-10-01,682.7
2001-11-01,682.4
2001-12-01,681.2
2002-01-01,682.8
2002-02-01,681.4
2002-03-01,683.1
2002-04-01,682.7
2002-05-01,683.1
2002-06-01,685.0
2002-07-01,687.1
2002-08-01,683.5
2002-09-01,684.2
2002-10-01,684.3
2002-11-01,683.0
2002-12-01,683.0
2003-01-01,682.0
2003-02-01,681.5
2003-03-01,681.5
2003-04-01,676.4
2003-05-01,676.0
2003-06-01,672.7
2003-07-01,669.8
2003-08-01,668.8
2003-09-01,666.3
2003-10-01,662.6
2003-11-01,661.5
2003-12-01,659.6
2004-01-01,656.3
2004-02-01,656.1
2004-03-01,655.4
2004-04-01,656.9
2004-05-01,653.3
2004-06-01,655.4
2004-07-01,656.7
2004-08-01,659.6
2004-09-01,658.2
2004-10-01,662.3
2004-11-01,660.5
2004-12-01,661.1
2005-01-01,661.3
2005-02-01,659.2
2005-03-01,660.2
2005-04-01,660.9
2005-05-01,659.6
2005-06-01,659.5
2005-07-01,662.5
2005-08-01,660.7
2005-09-01,661.9
2005-10-01,659.2
2005-11-01,660.0
2005-12-01,661.9
2006-01-01,661.8
2006-02-01,663.5
2006-03-01,662.8
2006-04-01,663.7
2006-05-01,664.5
2006-06-01,664.3
2006-07-01,662.6
2006-08-01,661.4
2006-09-01,661.9
2006-10-01,663.0
2006-11-01,662.8
2006-12-01,661.6
2007-01-01,663.0
2007-02-01,663.3
2007-03-01,665.4
2007-04-01,661.1
2007-05-01,661.3
2007-06-01,662.7
2007-07-01,665.6
2007-08-01,664.4
2007-09-01,661.3
2007-10-01,662.2
2007-11-01,662.3
2007-12-01,662.8
2008-01-01,661.2
2008-02-01,662.1
2008-03-01,661.4
2008-04-01,664.6
2008-05-01,665.0
2008-06-01,663.0
2008-07-01,662.8
2008-08-01,665.3
2008-09-01,666.6
2008-10-01,663.5
2008-11-01,663.2
2008-12-01,663.0
2009-01-01,660.6
2009-02-01,660.7
2009-03-01,656.4
2009-04-01,651.2
2009-05-01,650.1
2009-06-01,650.3
2009-07-01,652.8
2009-08-01,650.4
2009-09-01,648.5
2009-10-01,651.2
2009-11-01,650.5
2009-12-01,650.0
2010-01-01,651.5
2010-02-01,650.5
2010-03-01,652.9
2010-04-01,654.3
2010-05-01,660.6
2010-06-01,659.0
2010-07-01,658.6
2010-08-01,658.8
2010-09-01,656.8
2010-10-01,661.9
2010-11-01,661.5
2010-12-01,661.8
2011-01-01,662.0
2011-02-01,662.1
2011-03-01,663.1
2011-04-01,663.3
2011-05-01,663.5
2011-06-01,662.1
2011-07-01,659.3
2011-08-01,658.4
2011-09-01,658.3
2011-10-01,657.5
2011-11-01,658.4
2011-12-01,658.2
2012-01-01,659.1
2012-02-01,659.8
2012-03-01,664.7
2012-04-01,661.8
2012-05-01,662.1
2012-06-01,662.8
2012-07-01,662.3
2012-08-01,663.0
2012-09-01,665.2
2012-10-01,665.1
2012-11-01,664.8
2012-12-01,664.8
2013-01-01,663.7
2013-02-01,666.6
2013-03-01,670.3
2013-04-01,666.3
2013-05-01,664.9
2013-06-01,665.4
2013-07-01,665.2
2013-08-01,665.4
2013-09-01,666.4
2013-10-01,665.6
2013-11-01,665.9
2013-12-01,666.0
2014-01-01,667.5
2014-02-01,668.0
2014-03-01,669.3
2014-04-01,671.0
2014-05-01,671.8
2014-06-01,671.8
2014-07-01,675.4
2014-08-01,675.6
2014-09-01,678.0
2014-10-01,678.8
2014-11-01,681.1
2014-12-01,680.5
2015-01-01,681.3
2015-02-01,681.3
2015-03-01,682.0
2015-04-01,682.5
2015-05-01,683.2
2015-06-01,686.8
2015-07-01,684.2
2015-08-01,684.7
2015-09-01,683.1
2015-10-01,686.9
2015-11-01,686.8
2015-12-01,689.1
2016-01-01,689.2
2016-02-01,691.1
2016-03-01,693.3
2016-04-01,695.2
2016-05-01,695.2
2016-06-01,697.7
2016-07-01,702.1
2016-08-01,700.8
2016-09-01,704.8
2016-10-01,702.1
2016-11-01,702.7
2016-12-01,703.9
2017-01-01,705.1
2017-02-01,705.7
2017-03-01,706.8
2017-04-01,705.7
2017-05-01,708.7
2017-06-01,707.9
2017-07-01,709.4
2017-08-01,710.5
2017-09-01,710.2
2017-10-01,713.0
2017-11-01,713.8
2017-12-01,716.9
2018-01-01,717.8
2018-02-01,719.4
2018-03-01,719.2
2018-04-01,721.5
2018-05-01,722.7
2018-06-01,727.0
2018-07-01,725.3
2018-08-01,726.9
2018-09-01,729.2
2018-10-01,731.7
2018-11-01,731.9
2018-12-01,731.9
2019-01-01,735.0
2019-02-01,734.7
2019-03-01,737.0
2019-04-01,738.9
2019-05-01,739.2
2019-06-01,738.9
2019-07-01,738.6
2019-08-01,741.3
2019-09-01,743.8
2019-10-01,744.0
2019-11-01,747.2
2019-12-01,750.7
2020-01-01,750.6
2020-02-01,753.5
2020-03-01,746.3
2020-04-01,627.0
2020-05-01,634.0
2020-06-01,649.7
2020-07-01,655.8
2020-08-01,661.1
2020-09-01,665.7
2020-10-01,668.0
2020-11-01,670.1
2020-12-01,666.5
2021-01-01,672.7
2021-02-01,674.7
2021-03-01,681.9
2021-04-01,683.8
2021-05-01,687.7
2021-06-01,692.8
2021-07-01,696.9
2021-08-01,701.6
2021-09-01,704.1
2021-10-01,710.2
2021-11-01,715.2
2021-12-01,721.6
2022-01-01,724.6
2022-02-01,730.9
2022-03-01,733.5
2022-04-01,736.5
2022-05-01,739.1
2022-06-01,741.7
2022-07-01,744.7
2022-08-01,747.4
2022-09-01,749.9
2022-10-01,750.4
2022-11-01,752.9
2022-12-01,753.9
2023-01-01,757.7
2023-02-01,761.4
2023-03-01,764.1
2023-04-01,765.2
2023-05-01,766.4
