Date,NonfarmEmployeesPhillyMSA
1990-01-01,2513.8
1990-02-01,2514.2
1990-03-01,2521.3
1990-04-01,2503.3
1990-05-01,2500.8
1990-06-01,2506.0
1990-07-01,2505.5
1990-08-01,2505.6
1990-09-01,2498.7
1990-10-01,2482.1
1990-11-01,2476.4
1990-12-01,2471.2
1991-01-01,2458.3
1991-02-01,2449.4
1991-03-01,2447.6
1991-04-01,2440.2
1991-05-01,2432.9
1991-06-01,2426.0
1991-07-01,2407.0
1991-08-01,2402.4
1991-09-01,2407.8
1991-10-01,2404.5
1991-11-01,2402.6
1991-12-01,2397.8
1992-01-01,2401.5
1992-02-01,2398.4
1992-03-01,2394.5
1992-04-01,2393.9
1992-05-01,2392.7
1992-06-01,2392.0
1992-07-01,2394.6
1992-08-01,2393.0
1992-09-01,2387.5
1992-10-01,2399.2
1992-11-01,2401.3
1992-12-01,2401.5
1993-01-01,2407.3
1993-02-01,2411.6
1993-03-01,2402.9
1993-04-01,2404.7
1993-05-01,2408.9
1993-06-01,2407.3
1993-07-01,2414.5
1993-08-01,2417.7
1993-09-01,2412.5
1993-10-01,2416.3
1993-11-01,2418.2
1993-12-01,2422.4
1994-01-01,2424.4
1994-02-01,2421.1
1994-03-01,2432.1
1994-04-01,2437.3
1994-05-01,2440.2
1994-06-01,2448.6
1994-07-01,2449.3
1994-08-01,2452.5
1994-09-01,2458.5
1994-10-01,2458.2
1994-11-01,2461.5
1994-12-01,2465.6
1995-01-01,2461.4
1995-02-01,2458.5
1995-03-01,2463.2
1995-04-01,2463.1
1995-05-01,2462.6
1995-06-01,2472.1
1995-07-01,2463.5
1995-08-01,2473.1
1995-09-01,2481.1
1995-10-01,2486.8
1995-11-01,2489.3
1995-12-01,2490.5
1996-01-01,2473.3
1996-02-01,2490.9
1996-03-01,2499.2
1996-04-01,2513.3
1996-05-01,2522.5
1996-06-01,2521.5
1996-07-01,2524.7
1996-08-01,2529.3
1996-09-01,2528.9
1996-10-01,2535.8
1996-11-01,2538.3
1996-12-01,2542.6
1997-01-01,2549.7
1997-02-01,2555.9
1997-03-01,2561.6
1997-04-01,2564.0
1997-05-01,2570.1
1997-06-01,2575.6
1997-07-01,2586.7
1997-08-01,2592.0
1997-09-01,2601.7
1997-10-01,2604.3
1997-11-01,2615.7
1997-12-01,2622.0
1998-01-01,2623.5
1998-02-01,2630.0
1998-03-01,2629.9
1998-04-01,2628.9
1998-05-01,2637.6
1998-06-01,2631.7
1998-07-01,2642.6
1998-08-01,2650.6
1998-09-01,2653.3
1998-10-01,2656.8
1998-11-01,2662.8
1998-12-01,2668.2
1999-01-01,2673.3
1999-02-01,2680.2
1999-03-01,2685.5
1999-04-01,2694.0
