Date,MedianHomeValuePhilly
1996-01-31,70966.0
1996-02-29,70875.0
1996-03-31,70794.0
1996-04-30,70646.0
1996-05-31,70534.0
1996-06-30,70432.0
1996-07-31,70388.0
1996-08-31,70315.0
1996-09-30,70309.0
1996-10-31,70303.0
1996-11-30,70429.0
1996-12-31,70574.0
1997-01-31,70725.0
1997-02-28,70815.0
1997-03-31,70902.0
1997-04-30,71001.0
1997-05-31,71122.0
1997-06-30,71225.0
1997-07-31,71318.0
1997-08-31,71336.0
1997-09-30,71292.0
1997-10-31,71217.0
1997-11-30,71107.0
1997-12-31,70976.0
1998-01-31,70861.0
1998-02-28,70838.0
1998-03-31,70873.0
1998-04-30,70877.0
1998-05-31,70862.0
1998-06-30,70892.0
1998-07-31,70837.0
1998-08-31,71049.0
1998-09-30,71266.0
1998-10-31,71622.0
1998-11-30,71713.0
1998-12-31,71867.0
1999-01-31,71979.0
1999-02-28,72163.0
1999-03-31,72279.0
1999-04-30,72453.0
1999-05-31,72520.0
1999-06-30,72639.0
1999-07-31,72815.0
1999-08-31,72934.0
1999-09-30,73047.0
1999-10-31,73058.0
1999-11-30,73305.0
1999-12-31,73501.0
2000-01-31,73834.0
2000-02-29,74142.0
2000-03-31,74517.0
2000-04-30,74861.0
2000-05-31,75409.0
2000-06-30,75891.0
2000-07-31,76374.0
2000-08-31,76654.0
2000-09-30,77023.0
2000-10-31,77453.0
2000-11-30,77873.0
2000-12-31,78324.0
2001-01-31,78702.0
2001-02-28,79072.0
2001-03-31,79453.0
2001-04-30,79910.0
2001-05-31,80246.0
2001-06-30,80536.0
2001-07-31,80790.0
2001-08-31,81205.0
2001-09-30,81577.0
2001-10-31,81917.0
2001-11-30,82282.0
2001-12-31,82692.0
2002-01-31,83113.0
2002-02-28,83498.0
2002-03-31,83980.0
2002-04-30,84443.0
2002-05-31,84965.0
2002-06-30,85423.0
2002-07-31,85937.0
2002-08-31,86395.0
2002-09-30,86986.0
2002-10-31,87734.0
2002-11-30,88509.0
2002-12-31,89214.0
2003-01-31,89920.0
2003-02-28,90789.0
2003-03-31,91708.0
2003-04-30,92681.0
2003-05-31,93504.0
2003-06-30,94360.0
2003-07-31,95118.0
2003-08-31,95919.0
2003-09-30,96830.0
2003-10-31,97801.0
2003-11-30,98838.0
2003-12-31,99793.0
2004-01-31,100724.0
2004-02-29,101902.0
2004-03-31,102851.0
2004-04-30,103823.0
2004-05-31,104785.0
2004-06-30,106179.0
2004-07-31,107808.0
2004-08-31,109599.0
2004-09-30,111172.0
2004-10-31,112594.0
2004-11-30,114016.0
2004-12-31,115900.0
2005-01-31,118129.0
2005-02-28,119871.0
2005-03-31,121918.0
2005-04-30,123819.0
2005-05-31,126171.0
2005-06-30,128102.0
2005-07-31,130203.0
2005-08-31,132580.0
2005-09-30,135130.0
2005-10-31,137630.0
2005-11-30,139881.0
2005-12-31,141623.0
2006-01-31,142860.0
2006-02-28,144086.0
2006-03-31,145184.0
2006-04-30,146730.0
2006-05-31,148017.0
2006-06-30,149674.0
2006-07-31,151073.0
2006-08-31,152119.0
2006-09-30,152946.0
2006-10-31,153258.0
2006-11-30,153505.0
2006-12-31,153924.0
2007-01-31,154946.0
2007-02-28,155850.0
2007-03-31,156605.0
2007-04-30,156597.0
2007-05-31,157019.0
2007-06-30,157269.0
2007-07-31,157703.0
2007-08-31,157647.0
2007-09-30,157173.0
2007-10-31,157060.0
2007-11-30,157311.0
2007-12-31,157839.0
2008-01-31,157886.0
2008-02-29,158078.0
2008-03-31,157752.0
2008-04-30,157492.0
2008-05-31,156520.0
2008-06-30,155552.0
2008-07-31,154294.0
2008-08-31,153339.0
2008-09-30,152797.0
2008-10-31,152589.0
2008-11-30,152044.0
2008-12-31,151164.0
2009-01-31,149793.0
2009-02-28,148568.0
2009-03-31,147767.0
2009-04-30,147544.0
2009-05-31,147516.0
2009-06-30,147389.0
2009-07-31,147396.0
2009-08-31,147574.0
2009-09-30,148111.0
2009-10-31,148269.0
2009-11-30,148418.0
2009-12-31,148184.0
2010-01-31,148587.0
2010-02-28,148875.0
2010-03-31,149040.0
2010-04-30,149035.0
2010-05-31,149091.0
2010-06-30,149359.0
2010-07-31,149210.0
2010-08-31,148579.0
2010-09-30,147006.0
2010-10-31,145487.0
2010-11-30,144175.0
2010-12-31,143365.0
2011-01-31,142546.0
2011-02-28,141969.0
2011-03-31,141735.0
2011-04-30,141009.0
2011-05-31,140028.0
2011-06-30,138556.0
2011-07-31,137399.0
2011-08-31,136484.0
2011-09-30,136232.0
2011-10-31,136186.0
2011-11-30,136024.0
2011-12-31,135718.0
2012-01-31,135141.0
2012-02-29,134450.0
2012-03-31,133700.0
2012-04-30,133204.0
2012-05-31,132528.0
2012-06-30,131954.0
2012-07-31,131487.0
2012-08-31,131356.0
2012-09-30,131293.0
2012-10-31,130981.0
2012-11-30,130639.0
2012-12-31,130252.0
2013-01-31,130203.0
2013-02-28,129996.0
2013-03-31,129802.0
2013-04-30,129989.0
2013-05-31,130826.0
2013-06-30,131875.0
2013-07-31,132536.0
2013-08-31,132843.0
2013-09-30,132783.0
2013-10-31,132936.0
2013-11-30,133184.0
2013-12-31,133616.0
2014-01-31,133683.0
2014-02-28,133930.0
2014-03-31,133873.0
2014-04-30,133261.0
2014-05-31,132643.0
2014-06-30,132219.0
2014-07-31,132501.0
2014-08-31,132422.0
2014-09-30,132410.0
2014-10-31,132418.0
2014-11-30,132661.0
2014-12-31,133257.0
2015-01-31,133977.0
2015-02-28,134599.0
2015-03-31,135591.0
2015-04-30,136747.0
2015-05-31,137480.0
2015-06-30,137567.0
2015-07-31,137465.0
2015-08-31,138015.0
2015-09-30,138862.0
2015-10-31,139267.0
2015-11-30,139395.0
2015-12-31,138515.0
2016-01-31,138568.0
2016-02-29,138816.0
2016-03-31,139053.0
2016-04-30,139096.0
2016-05-31,139266.0
2016-06-30,140461.0
2016-07-31,141293.0
2016-08-31,142115.0
2016-09-30,142625.0
2016-10-31,143508.0
2016-11-30,144571.0
2016-12-31,146324.0
2017-01-31,146868.0
2017-02-28,147057.0
2017-03-31,147123.0
2017-04-30,148310.0
2017-05-31,149763.0
2017-06-30,150809.0
2017-07-31,151736.0
2017-08-31,152575.0
2017-09-30,153621.0
2017-10-31,155155.0
2017-11-30,156483.0
2017-12-31,157840.0
2018-01-31,159271.0
2018-02-28,161381.0
2018-03-31,163804.0
2018-04-30,165566.0
2018-05-31,166939.0
2018-06-30,167903.0
2018-07-31,169196.0
2018-08-31,170300.0
2018-09-30,171566.0
2018-10-31,172422.0
2018-11-30,173730.0
2018-12-31,175028.0
2019-01-31,176834.0
2019-02-28,178074.0
2019-03-31,178865.0
2019-04-30,179301.0
2019-05-31,180483.0
2019-06-30,181769.0
2019-07-31,182763.0
2019-08-31,183070.0
2019-09-30,183606.0
2019-10-31,184133.0
2019-11-30,184766.0
2019-12-31,185404.0
2020-01-31,186195.0
2020-02-29,187220.0
2020-03-31,188580.0
2020-04-30,190298.0
2020-05-31,191627.0
2020-06-30,192917.0
2020-07-31,194621.0
2020-08-31,197071.0
2020-09-30,199284.0
2020-10-31,201681.0
2020-11-30,203891.0
2020-12-31,206178.0
2021-01-31,208231.0
2021-02-28,210393.0
2021-03-31,212607.0
2021-04-30,215000.0
