Date,GDPPriceIndex
1947-01-01,11.961
1947-04-01,12.124
1947-07-01,12.315
1947-10-01,12.569
1948-01-01,12.713
1948-04-01,12.864
1948-07-01,13.088
1948-10-01,13.083
1949-01-01,13.041
1949-04-01,12.96
1949-07-01,12.867
1949-10-01,12.864
1950-01-01,12.828
1950-04-01,12.882
1950-07-01,13.15
1950-10-01,13.36
1951-01-01,13.812
1951-04-01,13.892
1951-07-01,13.937
1951-10-01,14.12
1952-01-01,14.137
1952-04-01,14.192
1952-07-01,14.299
1952-10-01,14.349
1953-01-01,14.363
1953-04-01,14.397
1953-07-01,14.451
1953-10-01,14.494
1954-01-01,14.555
1954-04-01,14.582
1954-07-01,14.569
1954-10-01,14.588
1955-01-01,14.643
1955-04-01,14.725
1955-07-01,14.826
1955-10-01,14.924
1956-01-01,15.071
1956-04-01,15.214
1956-07-01,15.381
1956-10-01,15.476
1957-01-01,15.653
1957-04-01,15.764
1957-07-01,15.885
1957-10-01,15.978
1958-01-01,16.112
1958-04-01,16.181
1958-07-01,16.22
1958-10-01,16.24
1959-01-01,16.316
1959-04-01,16.363
1959-07-01,16.432
1959-10-01,16.496
1960-01-01,16.527
1960-04-01,16.586
1960-07-01,16.658
1960-10-01,16.731
1961-01-01,16.751
1961-04-01,16.784
1961-07-01,16.819
1961-10-01,16.858
1962-01-01,16.942
1962-04-01,16.989
1962-07-01,17.029
1962-10-01,17.07
1963-01-01,17.154
1963-04-01,17.169
1963-07-01,17.188
1963-10-01,17.3
1964-01-01,17.365
1964-04-01,17.416
1964-07-01,17.502
1964-10-01,17.577
1965-01-01,17.653
1965-04-01,17.736
1965-07-01,17.816
1965-10-01,17.934
1966-01-01,18.043
1966-04-01,18.206
1966-07-01,18.366
1966-10-01,18.516
1967-01-01,18.593
1967-04-01,18.705
1967-07-01,18.873
1967-10-01,19.082
1968-01-01,19.29
1968-04-01,19.506
1968-07-01,19.693
1968-10-01,19.967
1969-01-01,20.167
1969-04-01,20.433
1969-07-01,20.724
1969-10-01,20.983
1970-01-01,21.272
1970-04-01,21.579
1970-07-01,21.756
1970-10-01,22.041
1971-01-01,22.375
1971-04-01,22.674
1971-07-01,22.903
1971-10-01,23.092
1972-01-01,23.463
1972-04-01,23.606
1972-07-01,23.82
1972-10-01,24.09
1973-01-01,24.396
1973-04-01,24.8
1973-07-01,25.273
1973-10-01,25.711
1974-01-01,26.232
1974-04-01,26.815
1974-07-01,27.641
1974-10-01,28.479
1975-01-01,29.124
1975-04-01,29.546
1975-07-01,30.068
1975-10-01,30.57
1976-01-01,30.905
1976-04-01,31.213
1976-07-01,31.611
1976-10-01,32.148
1977-01-01,32.668
1977-04-01,33.184
1977-07-01,33.641
1977-10-01,34.203
1978-01-01,34.763
1978-04-01,35.457
1978-07-01,36.083
1978-10-01,36.796
1979-01-01,37.483
1979-04-01,38.388
1979-07-01,39.19
1979-10-01,39.905
1980-01-01,40.777
1980-04-01,41.745
1980-07-01,42.676
1980-10-01,43.807
1981-01-01,44.968
1981-04-01,45.813
1981-07-01,46.703
1981-10-01,47.475
1982-01-01,48.155
1982-04-01,48.795
1982-07-01,49.472
1982-10-01,49.973
1983-01-01,50.372
1983-04-01,50.746
1983-07-01,51.285
1983-10-01,51.669
1984-01-01,52.178
1984-04-01,52.647
1984-07-01,53.122
1984-10-01,53.494
1985-01-01,54.041
1985-04-01,54.361
1985-07-01,54.722
1985-10-01,55.006
1986-01-01,55.278
1986-04-01,55.472
1986-07-01,55.735
1986-10-01,56.066
1987-01-01,56.391
1987-04-01,56.774
1987-07-01,57.212
1987-10-01,57.641
1988-01-01,58.087
1988-04-01,58.667
1988-07-01,59.385
1988-10-01,59.932
1989-01-01,60.508
1989-04-01,61.163
1989-07-01,61.617
1989-10-01,62.037
1990-01-01,62.713
1990-04-01,63.415
1990-07-01,63.963
1990-10-01,64.452
1991-01-01,65.078
1991-04-01,65.547
1991-07-01,66.05
1991-10-01,66.434
1992-01-01,66.7
1992-04-01,67.098
1992-07-01,67.419
1992-10-01,67.894
1993-01-01,68.298
1993-04-01,68.701
1993-07-01,69.046
1993-10-01,69.452
1994-01-01,69.807
1994-04-01,70.14
1994-07-01,70.514
1994-10-01,70.907
1995-01-01,71.311
1995-04-01,71.661
1995-07-01,71.982
1995-10-01,72.322
1996-01-01,72.655
1996-04-01,72.952
1996-07-01,73.306
1996-10-01,73.616
1997-01-01,73.946
1997-04-01,74.314
1997-07-01,74.535
1997-10-01,74.802
1998-01-01,74.878
1998-04-01,75.072
1998-07-01,75.363
1998-10-01,75.565
1999-01-01,75.769
1999-04-01,76.112
1999-07-01,76.404
1999-10-01,76.806
2000-01-01,77.318
2000-04-01,77.783
2000-07-01,78.27
2000-10-01,78.694
2001-01-01,79.233
2001-04-01,79.761
2001-07-01,80.003
2001-10-01,80.261
2002-01-01,80.475
2002-04-01,80.794
2002-07-01,81.155
2002-10-01,81.627
2003-01-01,82.068
2003-04-01,82.349
2003-07-01,82.822
2003-10-01,83.302
2004-01-01,83.899
2004-04-01,84.58
2004-07-01,85.116
2004-10-01,85.772
2005-01-01,86.43
2005-04-01,87.062
2005-07-01,87.884
2005-10-01,88.584
2006-01-01,89.204
2006-04-01,89.993
2006-07-01,90.652
2006-10-01,90.997
2007-01-01,91.908
2007-04-01,92.491
2007-07-01,92.882
2007-10-01,93.332
2008-01-01,93.735
2008-04-01,94.075
2008-07-01,94.804
2008-10-01,94.975
2009-01-01,95.001
2009-04-01,94.87
2009-07-01,94.928
2009-10-01,95.277
2010-01-01,95.518
2010-04-01,95.963
2010-07-01,96.312
2010-10-01,96.864
2011-01-01,97.339
2011-04-01,98.042
2011-07-01,98.561
2011-10-01,98.687
2012-01-01,99.277
2012-04-01,99.69
2012-07-01,100.304
2012-10-01,100.73
2013-01-01,101.124
2013-04-01,101.428
2013-07-01,101.973
2013-10-01,102.55
2014-01-01,102.965
2014-04-01,103.552
2014-07-01,104.029
2014-10-01,104.104
2015-01-01,104.092
2015-04-01,104.683
2015-07-01,104.939
2015-10-01,104.932
2016-01-01,104.873
2016-04-01,105.576
2016-07-01,105.894
2016-10-01,106.47
2017-01-01,107.022
2017-04-01,107.363
2017-07-01,107.948
2017-10-01,108.639
2018-01-01,109.365
2018-04-01,110.176
2018-07-01,110.68
2018-10-01,111.155
2019-01-01,111.56
2019-04-01,112.184
2019-07-01,112.558
2019-10-01,112.91
2020-01-01,113.427
2020-04-01,113.053
2020-07-01,114.032
2020-10-01,114.744
2021-01-01,116.199
2021-04-01,117.974
2021-07-01,119.763
2021-10-01,121.758
2022-01-01,124.209
2022-04-01,126.914
2022-07-01,128.276
2022-10-01,129.502
2023-01-01,130.832
