Date,ContinuedClaimsPA
1986-02-08,212764.0
1986-02-15,212457.0
1986-02-22,221361.0
1986-03-01,213635.0
1986-03-08,209134.0
1986-03-15,201812.0
1986-03-22,194240.0
1986-03-29,187845.0
1986-04-05,176639.0
1986-04-12,168402.0
1986-04-19,169717.0
1986-04-26,161925.0
1986-05-03,161769.0
1986-05-10,151732.0
1986-05-17,150038.0
1986-05-24,141271.0
1986-05-31,151488.0
1986-06-07,143818.0
1986-06-14,144046.0
1986-06-21,143831.0
1986-06-28,150657.0
1986-07-05,136803.0
1986-07-12,158056.0
1986-07-19,148273.0
1986-07-26,143566.0
1986-08-02,140838.0
1986-08-09,143083.0
1986-08-16,142453.0
1986-08-23,140362.0
1986-08-30,130438.0
1986-09-06,141005.0
1986-09-13,134327.0
1986-09-20,127713.0
1986-09-27,127666.0
1986-10-04,125232.0
1986-10-11,125076.0
1986-10-18,129480.0
1986-10-25,135576.0
1986-11-01,131629.0
1986-11-08,131188.0
1986-11-15,147220.0
1986-11-22,136655.0
1986-11-29,153549.0
1986-12-06,157625.0
1986-12-13,157177.0
1986-12-20,149892.0
1986-12-27,162199.0
1987-01-03,211402.0
1987-01-10,202338.0
1987-01-17,186600.0
1987-01-24,191037.0
1987-01-31,200410.0
1987-02-07,187013.0
1987-02-14,187592.0
1987-02-21,182412.0
1987-02-28,186023.0
1987-03-07,170835.0
1987-03-14,174321.0
1987-03-21,155897.0
1987-03-28,155400.0
1987-04-04,143550.0
1987-04-11,148014.0
1987-04-18,134423.0
1987-04-25,137744.0
1987-05-02,126307.0
1987-05-09,127332.0
1987-05-16,120804.0
1987-05-23,113283.0
1987-05-30,117217.0
1987-06-06,112869.0
1987-06-13,112805.0
1987-06-20,112934.0
1987-06-27,119564.0
1987-07-04,104356.0
1987-07-11,125202.0
1987-07-18,119853.0
1987-07-25,115900.0
1987-08-01,112429.0
1987-08-08,112564.0
1987-08-15,111417.0
1987-08-22,108943.0
1987-08-29,106419.0
1987-09-05,95770.0
1987-09-12,100879.0
1987-09-19,92057.0
1987-09-26,91741.0
1987-10-03,86083.0
1987-10-10,88355.0
1987-10-17,90925.0
1987-10-24,89174.0
1987-10-31,92254.0
1987-11-07,90258.0
1987-11-14,106893.0
1987-11-21,97134.0
1987-11-28,115245.0
1987-12-05,118450.0
1987-12-12,120616.0
1987-12-19,125846.0
1987-12-26,131439.0
1988-01-02,149082.0
1988-01-09,168055.0
1988-01-16,169438.0
1988-01-23,164776.0
1988-01-30,176058.0
1988-02-06,165060.0
1988-02-13,167013.0
1988-02-20,16863.0
1988-02-27,164963.0
1988-03-05,152422.0
1988-03-12,156883.0
1988-03-19,142063.0
1988-03-26,141612.0
1988-04-02,127337.0
1988-04-09,130394.0
1988-04-16,122112.0
1988-04-23,118335.0
1988-04-30,113026.0
1988-05-07,111249.0
1988-05-14,107353.0
1988-05-21,107385.0
1988-05-28,100154.0
1988-06-04,107227.0
1988-06-11,102524.0
1988-06-18,101269.0
1988-06-25,104276.0
1988-07-02,90156.0
1988-07-09,118839.0
1988-07-16,116001.0
1988-07-23,112742.0
1988-07-30,106863.0
1988-08-06,105536.0
1988-08-13,105347.0
1988-08-20,101293.0
1988-08-27,100485.0
1988-09-03,90881.0
1988-09-10,94803.0
1988-09-17,87817.0
1988-09-24,85920.0
1988-10-01,82436.0
1988-10-08,82597.0
1988-10-15,90223.0
1988-10-22,86566.0
1988-10-29,91683.0
1988-11-05,96682.0
1988-11-12,94489.0
1988-11-19,90074.0
1988-11-26,109843.0
1988-12-03,115642.0
1988-12-10,116583.0
1988-12-17,119053.0
1988-12-24,133865.0
1988-12-31,150205.0
1989-01-07,159636.0
1989-01-14,162225.0
1989-01-21,152077.0
1989-01-28,160972.0
1989-02-04,151665.0
1989-02-11,166259.0
1989-02-18,151501.0
1989-02-25,167872.0
1989-03-04,150629.0
1989-03-11,164880.0
1989-03-18,144240.0
1989-03-25,151254.0
1989-04-01,136162.0
1989-04-08,138249.0
1989-04-15,126189.0
1989-04-22,122134.0
1989-04-29,117418.0
1989-05-06,118237.0
1989-05-13,119459.0
1989-05-20,117193.0
1989-05-27,109345.0
1989-06-03,116050.0
1989-06-10,113563.0
1989-06-17,116600.0
1989-06-24,116210.0
1989-07-01,109504.0
1989-07-08,133223.0
1989-07-15,130964.0
1989-07-22,117498.0
1989-07-29,117327.0
1989-08-05,115352.0
1989-08-12,117804.0
1989-08-19,111547.0
1989-08-26,114008.0
1989-09-02,104264.0
1989-09-09,107561.0
1989-09-16,97871.0
1989-09-23,101232.0
1989-09-30,97277.0
1989-10-07,97305.0
1989-10-14,104553.0
1989-10-21,105615.0
1989-10-28,110190.0
1989-11-04,100115.0
1989-11-11,119548.0
1989-11-18,105253.0
1989-11-25,130098.0
1989-12-02,132543.0
1989-12-09,134242.0
1989-12-16,139191.0
1989-12-23,144088.0
1989-12-30,182613.0
1990-01-06,185644.0
1990-01-13,172722.0
1990-01-20,186260.0
1990-01-27,172283.0
1990-02-03,185989.0
1990-02-10,175309.0
1990-02-17,180460.0
1990-02-24,173048.0
1990-03-03,181628.0
1990-03-10,168804.0
1990-03-17,172968.0
1990-03-24,157435.0
1990-03-31,159626.0
1990-04-07,148690.0
1990-04-14,157218.0
1990-04-21,140799.0
1990-04-28,143495.0
1990-05-05,130701.0
1990-05-12,135629.0
1990-05-19,125854.0
1990-05-26,127828.0
1990-06-02,130068.0
1990-06-09,131650.0
1990-06-16,131382.0
1990-06-23,134595.0
1990-06-30,125279.0
1990-07-07,148893.0
1990-07-14,152962.0
1990-07-21,137921.0
1990-07-28,139139.0
1990-08-04,135037.0
1990-08-11,138114.0
1990-08-18,132162.0
1990-08-25,138526.0
1990-09-01,125163.0
1990-09-08,131985.0
1990-09-15,118257.0
1990-09-22,122974.0
1990-09-29,119061.0
1990-10-06,120688.0
1990-10-13,126799.0
1990-10-20,131456.0
1990-10-27,133627.0
1990-11-03,140532.0
1990-11-10,137185.0
1990-11-17,144185.0
1990-11-24,162365.0
1990-12-01,176153.0
1990-12-08,170667.0
1990-12-15,184088.0
1990-12-22,160354.0
1990-12-29,224709.0
1991-01-05,241904.0
1991-01-12,239685.0
1991-01-19,231733.0
1991-01-26,238342.0
1991-02-02,241949.0
1991-02-09,240383.0
1991-02-16,245102.0
1991-02-23,248442.0
1991-03-02,252070.0
1991-03-09,241164.0
1991-03-16,247327.0
1991-03-23,231956.0
1991-03-30,238896.0
1991-04-06,224410.0
1991-04-13,219939.0
1991-04-20,211553.0
1991-04-27,207848.0
1991-05-04,205520.0
1991-05-11,199517.0
1991-05-18,194130.0
1991-05-25,183218.0
1991-06-01,190895.0
1991-06-08,185113.0
1991-06-15,187016.0
1991-06-22,186094.0
1991-06-29,179507.0
1991-07-06,196110.0
1991-07-13,200121.0
1991-07-20,183327.0
1991-07-27,184734.0
1991-08-03,178443.0
1991-08-10,178575.0
1991-08-17,170402.0
1991-08-24,172919.0
1991-08-31,160318.0
1991-09-07,165958.0
1991-09-14,152984.0
1991-09-21,154396.0
1991-09-28,152945.0
1991-10-05,157881.0
1991-10-12,151907.0
1991-10-19,162166.0
1991-10-26,155966.0
1991-11-02,165261.0
1991-11-09,159905.0
1991-11-16,177731.0
1991-11-23,157762.0
1991-11-30,206419.0
1991-12-07,203303.0
1991-12-14,208492.0
1991-12-21,184572.0
1991-12-28,231642.0
1992-01-04,286814.0
1992-01-11,257203.0
1992-01-18,247860.0
1992-01-25,253695.0
1992-02-01,253357.0
1992-02-08,246014.0
1992-02-15,250248.0
1992-02-22,248640.0
1992-02-29,249262.0
1992-03-07,238660.0
1992-03-14,242617.0
1992-03-21,231544.0
1992-03-28,232000.0
1992-04-04,223815.0
1992-04-11,221721.0
1992-04-18,212906.0
1992-04-25,207423.0
1992-05-02,197437.0
1992-05-09,194408.0
1992-05-16,190432.0
1992-05-23,183101.0
1992-05-30,190004.0
1992-06-06,181997.0
1992-06-13,187202.0
1992-06-20,185126.0
1992-06-27,178251.0
1992-07-04,190973.0
1992-07-11,197723.0
1992-07-18,190584.0
1992-07-25,183676.0
1992-08-01,181483.0
1992-08-08,178731.0
1992-08-15,174827.0
1992-08-22,171182.0
1992-08-29,167913.0
1992-09-05,157535.0
1992-09-12,158130.0
1992-09-19,148154.0
1992-09-26,145812.0
1992-10-03,145035.0
1992-10-10,143828.0
1992-10-17,148046.0
1992-10-24,144704.0
1992-10-31,147111.0
1992-11-07,147714.0
1992-11-14,159470.0
1992-11-21,140310.0
1992-11-28,176386.0
1992-12-05,166011.0
1992-12-12,178586.0
1992-12-19,161215.0
1992-12-26,180228.0
1993-01-02,218085.0
1993-01-09,202495.0
1993-01-16,202517.0
1993-01-23,197128.0
1993-01-30,199488.0
1993-02-06,193150.0
1993-02-13,195144.0
1993-02-20,196540.0
1993-02-27,201117.0
1993-03-06,192301.0
1993-03-13,192134.0
1993-03-20,201639.0
1993-03-27,194605.0
1993-04-03,180843.0
1993-04-10,187996.0
1993-04-17,173976.0
1993-04-24,168250.0
1993-05-01,160444.0
1993-05-08,155221.0
1993-05-15,155912.0
1993-05-22,150993.0
1993-05-29,148599.0
1993-06-05,152508.0
1993-06-12,154101.0
1993-06-19,150151.0
1993-06-26,157809.0
1993-07-03,146241.0
1993-07-10,168224.0
1993-07-17,158473.0
1993-07-24,155107.0
1993-07-31,149003.0
1993-08-07,150584.0
1993-08-14,147314.0
1993-08-21,146816.0
1993-08-28,143410.0
1993-09-04,139291.0
1993-09-11,138728.0
1993-09-18,135504.0
1993-09-25,130895.0
1993-10-02,132679.0
1993-10-09,130083.0
1993-10-16,140712.0
1993-10-23,135138.0
1993-10-30,141069.0
1993-11-06,137267.0
1993-11-13,151016.0
1993-11-20,130710.0
1993-11-27,167983.0
1993-12-04,161000.0
1993-12-11,168240.0
1993-12-18,159427.0
1993-12-25,172743.0
1994-01-01,198325.0
1994-01-08,221651.0
1994-01-15,202906.0
1994-01-22,245837.0
1994-01-29,249081.0
1994-02-05,222952.0
1994-02-12,241481.0
1994-02-19,218235.0
1994-02-26,228136.0
1994-03-05,228370.0
1994-03-12,228130.0
1994-03-19,208999.0
1994-03-26,208188.0
1994-04-02,195686.0
1994-04-09,196281.0
1994-04-16,191511.0
1994-04-23,177957.0
1994-04-30,178829.0
1994-05-07,165397.0
1994-05-14,171423.0
1994-05-21,156269.0
1994-05-28,162476.0
1994-06-04,157622.0
1994-06-11,162418.0
1994-06-18,153639.0
1994-06-25,163337.0
1994-07-02,148892.0
1994-07-09,170917.0
1994-07-16,164620.0
1994-07-23,159842.0
1994-07-30,151653.0
1994-08-06,152960.0
1994-08-13,149434.0
1994-08-20,146523.0
1994-08-27,145054.0
1994-09-03,134630.0
1994-09-10,134731.0
1994-09-17,126803.0
1994-09-24,125004.0
1994-10-01,121878.0
1994-10-08,121017.0
1994-10-15,127385.0
1994-10-22,121464.0
1994-10-29,128599.0
1994-11-05,120704.0
1994-11-12,137946.0
1994-11-19,117502.0
1994-11-26,155677.0
1994-12-03,147933.0
1994-12-10,154575.0
1994-12-17,153184.0
1994-12-24,156366.0
1994-12-31,184944.0
1995-01-07,194346.0
1995-01-14,203238.0
1995-01-21,189420.0
1995-01-28,209750.0
1995-02-04,193535.0
1995-02-11,212920.0
1995-02-18,199507.0
1995-02-25,212668.0
1995-03-04,197534.0
1995-03-11,209626.0
1995-03-18,186907.0
1995-03-25,190227.0
1995-04-01,170256.0
1995-04-08,174660.0
1995-04-15,170806.0
1995-04-22,164466.0
1995-04-29,159881.0
1995-05-06,155277.0
1995-05-13,157053.0
1995-05-20,152721.0
1995-05-27,151398.0
1995-06-03,153843.0
1995-06-10,156557.0
1995-06-17,153347.0
1995-06-24,159693.0
1995-07-01,148320.0
1995-07-08,175105.0
1995-07-15,169372.0
1995-07-22,160300.0
1995-07-29,158255.0
1995-08-05,155599.0
1995-08-12,154350.0
1995-08-19,150143.0
1995-08-26,150190.0
1995-09-02,138194.0
1995-09-09,140301.0
1995-09-16,132874.0
1995-09-23,132702.0
1995-09-30,130657.0
1995-10-07,130957.0
1995-10-14,141474.0
1995-10-21,133168.0
1995-10-28,140616.0
1995-11-04,132303.0
1995-11-11,155873.0
1995-11-18,141833.0
1995-11-25,186289.0
1995-12-02,173040.0
1995-12-09,175060.0
1995-12-16,175473.0
1995-12-23,183155.0
1995-12-30,208785.0
1996-01-06,204551.0
1996-01-13,248412.0
1996-01-20,269923.0
1996-01-27,231498.0
1996-02-03,238545.0
1996-02-10,220449.0
1996-02-17,227095.0
1996-02-24,217650.0
1996-03-02,221246.0
1996-03-09,216028.0
1996-03-16,214845.0
1996-03-23,198983.0
1996-03-30,196116.0
1996-04-06,183676.0
1996-04-13,180543.0
1996-04-20,170334.0
1996-04-27,162958.0
1996-05-04,161257.0
1996-05-11,158131.0
1996-05-18,152049.0
1996-05-25,147557.0
1996-06-01,150720.0
1996-06-08,145745.0
1996-06-15,150514.0
1996-06-22,148400.0
1996-06-29,146498.0
1996-07-06,158683.0
1996-07-13,163215.0
1996-07-20,152285.0
1996-07-27,153462.0
1996-08-03,149145.0
1996-08-10,146640.0
1996-08-17,141748.0
1996-08-24,140257.0
1996-08-31,129299.0
1996-09-07,129814.0
1996-09-14,122334.0
1996-09-21,119449.0
1996-09-28,118380.0
1996-10-05,118176.0
1996-10-12,113466.0
1996-10-19,126665.0
1996-10-26,119512.0
1996-11-02,124506.0
1996-11-09,121783.0
1996-11-16,133302.0
1996-11-23,122170.0
1996-11-30,155283.0
1996-12-07,151254.0
1996-12-14,154651.0
1996-12-21,145850.0
1996-12-28,176070.0
1997-01-04,215358.0
1997-01-11,193522.0
1997-01-18,197099.0
1997-01-25,193508.0
1997-02-01,197150.0
1997-02-08,188091.0
1997-02-15,192775.0
1997-02-22,180047.0
1997-03-01,188911.0
1997-03-08,180674.0
1997-03-15,184217.0
1997-03-22,164030.0
1997-03-29,168512.0
1997-04-05,154943.0
1997-04-12,152956.0
1997-04-19,145099.0
1997-04-26,141738.0
1997-05-03,137939.0
1997-05-10,136477.0
1997-05-17,130314.0
1997-05-24,128568.0
1997-05-31,131440.0
1997-06-07,130578.0
1997-06-14,134737.0
1997-06-21,136063.0
1997-06-28,133721.0
1997-07-05,141340.0
1997-07-12,142281.0
1997-07-19,138401.0
1997-07-26,135006.0
1997-08-02,133177.0
1997-08-09,132129.0
1997-08-16,135425.0
1997-08-23,131182.0
1997-08-30,124145.0
1997-09-06,117964.0
1997-09-13,113814.0
1997-09-20,108960.0
1997-09-27,110468.0
1997-10-04,107132.0
1997-10-11,109111.0
1997-10-18,109771.0
1997-10-25,113308.0
1997-11-01,123185.0
1997-11-08,125759.0
1997-11-15,136222.0
1997-11-22,116247.0
1997-11-29,145345.0
1997-12-06,141491.0
1997-12-13,147756.0
1997-12-20,137629.0
1997-12-27,162942.0
1998-01-03,214777.0
1998-01-10,185075.0
1998-01-17,191038.0
1998-01-24,176206.0
1998-01-31,190750.0
1998-02-07,174630.0
1998-02-14,188247.0
1998-02-21,172269.0
1998-02-28,188288.0
1998-03-07,166712.0
1998-03-14,187883.0
1998-03-21,158919.0
1998-03-28,166506.0
1998-04-04,141119.0
1998-04-11,149137.0
1998-04-18,136187.0
1998-04-25,134960.0
1998-05-02,124699.0
1998-05-09,130504.0
1998-05-16,122020.0
1998-05-23,123003.0
1998-05-30,119462.0
1998-06-06,122376.0
1998-06-13,125727.0
1998-06-20,134245.0
1998-06-27,133775.0
1998-07-04,144859.0
1998-07-11,142192.0
1998-07-18,141854.0
1998-07-25,134884.0
1998-08-01,135557.0
1998-08-08,131466.0
1998-08-15,131932.0
1998-08-22,126254.0
1998-08-29,126303.0
1998-09-05,113533.0
1998-09-12,115094.0
1998-09-19,104711.0
1998-09-26,107596.0
1998-10-03,103473.0
1998-10-10,107163.0
1998-10-17,110389.0
1998-10-24,108223.0
1998-10-31,109644.0
1998-11-07,110671.0
1998-11-14,121339.0
1998-11-21,111982.0
1998-11-28,136590.0
1998-12-05,135954.0
1998-12-12,143123.0
1998-12-19,132698.0
1998-12-26,151551.0
1999-01-02,197567.0
1999-01-09,170572.0
1999-01-16,205870.0
1999-01-23,175809.0
1999-01-30,194899.0
1999-02-06,166350.0
1999-02-13,188385.0
1999-02-20,162094.0
1999-02-27,185169.0
1999-03-06,159876.0
1999-03-13,180631.0
1999-03-20,155235.0
1999-03-27,164586.0
1999-04-03,143678.0
1999-04-10,149762.0
1999-04-17,132654.0
1999-04-24,134493.0
1999-05-01,124506.0
1999-05-08,125817.0
1999-05-15,120855.0
1999-05-22,121611.0
1999-05-29,118048.0
1999-06-05,122288.0
1999-06-12,121723.0
1999-06-19,128235.0
1999-06-26,130908.0
1999-07-03,129578.0
1999-07-10,138112.0
1999-07-17,136187.0
1999-07-24,132790.0
1999-07-31,130224.0
1999-08-07,130124.0
1999-08-14,130994.0
1999-08-21,127528.0
1999-08-28,125783.0
1999-09-04,115430.0
1999-09-11,113583.0
1999-09-18,106494.0
1999-09-25,105991.0
1999-10-02,102738.0
1999-10-09,100986.0
1999-10-16,105417.0
1999-10-23,101673.0
1999-10-30,105257.0
1999-11-06,102922.0
1999-11-13,113444.0
1999-11-20,103731.0
1999-11-27,125461.0
1999-12-04,127148.0
1999-12-11,135429.0
1999-12-18,126326.0
1999-12-25,145278.0
2000-01-01,165976.0
2000-01-08,162619.0
2000-01-15,171527.0
2000-01-22,159302.0
2000-01-29,185917.0
2000-02-05,169088.0
2000-02-12,182707.0
2000-02-19,161177.0
2000-02-26,174889.0
2000-03-04,150725.0
2000-03-11,158855.0
2000-03-18,137256.0
2000-03-25,145330.0
2000-04-01,126753.0
2000-04-08,132588.0
2000-04-15,120973.0
2000-04-22,123477.0
2000-04-29,118850.0
2000-05-06,114577.0
2000-05-13,111370.0
2000-05-20,110368.0
2000-05-27,109976.0
2000-06-03,112705.0
2000-06-10,113695.0
2000-06-17,120776.0
2000-06-24,123972.0
2000-07-01,123218.0
2000-07-08,128371.0
2000-07-15,135948.0
2000-07-22,124575.0
2000-07-29,126908.0
2000-08-05,122826.0
2000-08-12,127852.0
2000-08-19,121822.0
2000-08-26,124231.0
2000-09-02,109908.0
2000-09-09,111789.0
2000-09-16,101951.0
2000-09-23,102199.0
2000-09-30,98501.0
2000-10-07,101654.0
2000-10-14,107755.0
2000-10-21,102209.0
2000-10-28,109069.0
2000-11-04,101371.0
2000-11-11,118753.0
2000-11-18,97222.0
2000-11-25,132100.0
2000-12-02,138444.0
2000-12-09,147104.0
2000-12-16,147099.0
2000-12-23,151691.0
2000-12-30,181735.0
2001-01-06,195075.0
2001-01-13,175839.0
2001-01-20,203051.0
2001-01-27,182124.0
2001-02-03,208390.0
2001-02-10,186162.0
2001-02-17,207334.0
2001-02-24,185777.0
2001-03-03,201847.0
2001-03-10,183978.0
2001-03-17,206488.0
2001-03-24,174395.0
2001-03-31,180418.0
2001-04-07,158440.0
2001-04-14,177652.0
2001-04-21,154485.0
2001-04-28,168302.0
2001-05-05,148060.0
2001-05-12,160880.0
2001-05-19,143250.0
2001-05-26,161302.0
2001-06-02,152152.0
2001-06-09,168872.0
2001-06-16,162788.0
2001-06-23,177032.0
2001-06-30,161889.0
2001-07-07,182511.0
2001-07-14,186731.0
2001-07-21,167578.0
2001-07-28,173937.0
2001-08-04,173525.0
2001-08-11,175545.0
2001-08-18,172752.0
2001-08-25,172775.0
2001-09-01,162829.0
2001-09-08,160540.0
2001-09-15,156327.0
2001-09-22,151334.0
2001-09-29,154129.0
2001-10-06,157279.0
2001-10-13,162109.0
2001-10-20,168447.0
2001-10-27,167600.0
2001-11-03,174823.0
2001-11-10,178051.0
2001-11-17,179615.0
2001-11-24,191734.0
2001-12-01,217015.0
2001-12-08,206814.0
2001-12-15,212085.0
2001-12-22,204274.0
2001-12-29,245851.0
2002-01-05,282171.0
2002-01-12,256267.0
2002-01-19,260254.0
2002-01-26,246899.0
2002-02-02,259714.0
2002-02-09,245248.0
2002-02-16,256996.0
2002-02-23,239959.0
