Date,InitialClaimsPA
1986-02-15,24335.0
1986-02-22,23417.0
1986-03-01,23330.0
1986-03-08,23466.0
1986-03-15,21969.0
1986-03-22,22299.0
1986-03-29,22445.0
1986-04-05,20082.0
1986-04-12,26530.0
1986-04-19,22922.0
1986-04-26,23397.0
1986-05-03,21726.0
1986-05-10,20967.0
1986-05-17,20246.0
1986-05-24,20595.0
1986-05-31,19477.0
1986-06-07,23022.0
1986-06-14,22572.0
1986-06-21,21884.0
1986-06-28,20800.0
1986-07-05,31743.0
1986-07-12,26336.0
1986-07-19,24422.0
1986-07-26,22273.0
1986-08-02,21205.0
1986-08-09,21290.0
1986-08-16,20486.0
1986-08-23,18752.0
1986-08-30,18517.0
1986-09-06,19384.0
1986-09-13,21398.0
1986-09-20,19158.0
1986-09-27,18848.0
1986-10-04,19724.0
1986-10-11,23058.0
1986-10-18,19112.0
1986-10-25,19966.0
1986-11-01,19905.0
1986-11-08,23224.0
1986-11-15,22246.0
1986-11-22,24630.0
1986-11-29,22806.0
1986-12-06,30578.0
1986-12-13,27678.0
1986-12-20,24885.0
1986-12-27,33184.0
1987-01-03,37649.0
1987-01-10,49088.0
1987-01-17,41884.0
1987-01-24,24418.0
1987-01-31,30559.0
1987-02-07,28976.0
1987-02-14,21421.0
1987-02-21,20557.0
1987-02-28,19633.0
1987-03-07,19689.0
1987-03-14,17971.0
1987-03-21,17480.0
1987-03-28,16516.0
1987-04-04,18679.0
1987-04-11,24677.0
1987-04-18,20800.0
1987-04-25,16850.0
1987-05-02,19795.0
1987-05-09,18528.0
1987-05-16,16479.0
1987-05-23,16356.0
1987-05-30,15346.0
1987-06-06,18515.0
1987-06-13,18306.0
1987-06-20,18417.0
1987-06-27,16777.0
1987-07-04,23673.0
1987-07-11,22901.0
1987-07-18,20976.0
1987-07-25,17194.0
1987-08-01,16497.0
1987-08-08,16028.0
1987-08-15,14471.0
1987-08-22,13942.0
1987-08-29,14339.0
1987-09-05,14824.0
1987-09-12,12728.0
1987-09-19,14627.0
1987-09-26,13707.0
1987-10-03,14198.0
1987-10-10,17188.0
1987-10-17,14063.0
1987-10-24,14782.0
1987-10-31,16052.0
1987-11-07,16925.0
1987-11-14,17497.0
1987-11-21,21467.0
1987-11-28,19505.0
1987-12-05,25643.0
1987-12-12,23768.0
1987-12-19,20546.0
1987-12-26,30697.0
1988-01-02,33194.0
1988-01-09,38797.0
1988-01-16,37561.0
1988-01-23,23728.0
1988-01-30,24309.0
1988-02-06,24043.0
1988-02-13,21887.0
1988-02-20,16850.0
1988-02-27,17747.0
1988-03-05,17447.0
1988-03-12,17410.0
1988-03-19,15966.0
1988-03-26,15583.0
1988-04-02,15715.0
1988-04-09,20301.0
1988-04-16,17469.0
1988-04-23,15605.0
1988-04-30,14245.0
1988-05-07,15234.0
1988-05-14,14842.0
1988-05-21,15770.0
1988-05-28,17151.0
1988-06-04,14859.0
1988-06-11,17455.0
1988-06-18,15417.0
1988-06-25,15151.0
1988-07-02,15374.0
1988-07-09,20936.0
1988-07-16,22218.0
1988-07-23,17150.0
1988-07-30,15883.0
1988-08-06,15404.0
1988-08-13,13753.0
1988-08-20,13597.0
1988-08-27,12740.0
1988-09-03,12594.0
1988-09-10,12002.0
1988-09-17,12907.0
1988-09-24,12108.0
1988-10-01,12439.0
1988-10-08,15745.0
1988-10-15,13221.0
1988-10-22,14251.0
1988-10-29,14486.0
1988-11-05,17587.0
1988-11-12,18088.0
1988-11-19,14917.0
1988-11-26,17401.0
1988-12-03,23265.0
1988-12-10,23133.0
1988-12-17,21582.0
1988-12-24,25844.0
1988-12-31,42736.0
1989-01-07,35045.0
1989-01-14,33224.0
1989-01-21,20831.0
1989-01-28,20759.0
1989-02-04,20080.0
1989-02-11,20107.0
1989-02-18,18902.0
1989-02-25,16941.0
1989-03-04,17295.0
1989-03-11,18310.0
1989-03-18,16703.0
1989-03-25,15482.0
1989-04-01,16344.0
1989-04-08,21451.0
1989-04-15,15936.0
1989-04-22,14179.0
1989-04-29,15087.0
1989-05-06,17812.0
1989-05-13,19535.0
1989-05-20,19000.0
1989-05-27,16373.0
1989-06-03,14955.0
1989-06-10,18698.0
1989-06-17,20519.0
1989-06-24,18734.0
1989-07-01,18537.0
1989-07-08,25738.0
1989-07-15,23527.0
1989-07-22,18560.0
1989-07-29,17291.0
1989-08-05,17938.0
1989-08-12,15446.0
1989-08-19,15061.0
1989-08-26,14685.0
1989-09-02,15669.0
1989-09-09,14656.0
1989-09-16,15313.0
1989-09-23,15581.0
1989-09-30,16170.0
1989-10-07,19808.0
1989-10-14,15518.0
1989-10-21,20965.0
1989-10-28,20215.0
1989-11-04,20818.0
1989-11-11,17936.0
1989-11-18,22376.0
1989-11-25,24470.0
1989-12-02,27423.0
1989-12-09,26395.0
1989-12-16,25771.0
1989-12-23,33575.0
1989-12-30,42161.0
1990-01-06,32581.0
1990-01-13,39416.0
1990-01-20,25197.0
1990-01-27,23671.0
1990-02-03,23586.0
1990-02-10,23005.0
1990-02-17,20644.0
1990-02-24,19495.0
1990-03-03,21361.0
1990-03-10,21422.0
1990-03-17,19130.0
1990-03-24,18354.0
1990-03-31,18160.0
1990-04-07,24482.0
1990-04-14,21073.0
1990-04-21,18675.0
1990-04-28,17485.0
1990-05-05,18945.0
1990-05-12,17780.0
1990-05-19,18014.0
1990-05-26,18552.0
1990-06-02,17829.0
1990-06-09,21532.0
1990-06-16,20220.0
1990-06-23,19693.0
1990-06-30,18561.0
1990-07-07,28385.0
1990-07-14,26150.0
1990-07-21,20777.0
1990-07-28,18733.0
1990-08-04,18981.0
1990-08-11,18553.0
1990-08-18,16754.0
1990-08-25,19571.0
1990-09-01,19886.0
1990-09-08,19344.0
1990-09-15,18164.0
1990-09-22,17621.0
1990-09-29,17718.0
1990-10-06,20902.0
1990-10-13,22173.0
1990-10-20,21069.0
1990-10-27,22426.0
1990-11-03,23847.0
1990-11-10,25131.0
1990-11-17,23981.0
1990-11-24,27863.0
1990-12-01,30951.0
1990-12-08,32032.0
1990-12-15,27771.0
1990-12-22,35120.0
1990-12-29,41790.0
1991-01-05,40959.0
1991-01-12,48439.0
1991-01-19,39715.0
1991-01-26,30219.0
1991-02-02,31362.0
1991-02-09,31731.0
1991-02-16,27605.0
1991-02-23,24729.0
1991-03-02,26400.0
1991-03-09,27329.0
1991-03-16,24142.0
1991-03-23,23858.0
1991-03-30,25401.0
1991-04-06,25995.0
1991-04-13,26949.0
1991-04-20,23248.0
1991-04-27,24521.0
1991-05-04,24511.0
1991-05-11,23064.0
1991-05-18,20588.0
1991-05-25,21352.0
1991-06-01,20345.0
1991-06-08,24401.0
1991-06-15,24523.0
1991-06-22,23231.0
1991-06-29,21920.0
1991-07-06,28388.0
1991-07-13,32090.0
1991-07-20,23277.0
1991-07-27,20733.0
1991-08-03,21495.0
1991-08-10,20010.0
1991-08-17,18495.0
1991-08-24,19352.0
1991-08-31,19481.0
1991-09-07,19151.0
1991-09-14,20719.0
1991-09-21,18963.0
1991-09-28,20105.0
1991-10-05,21677.0
1991-10-12,24273.0
1991-10-19,20890.0
1991-10-26,22307.0
1991-11-02,22354.0
1991-11-09,26892.0
1991-11-16,25461.0
1991-11-23,27445.0
1991-11-30,24746.0
1991-12-07,40764.0
1991-12-14,34390.0
1991-12-21,29960.0
1991-12-28,47123.0
1992-01-04,40734.0
1992-01-11,53504.0
1992-01-18,40321.0
1992-01-25,30887.0
1992-02-01,30658.0
1992-02-08,27945.0
1992-02-15,25300.0
1992-02-22,24590.0
1992-02-29,23377.0
1992-03-07,23868.0
1992-03-14,23778.0
1992-03-21,23493.0
1992-03-28,21698.0
1992-04-04,19007.0
1992-04-11,30934.0
1992-04-18,21902.0
1992-04-25,23366.0
1992-05-02,22411.0
1992-05-09,22223.0
1992-05-16,20515.0
1992-05-23,21454.0
1992-05-30,19853.0
1992-06-06,23018.0
1992-06-13,23931.0
1992-06-20,23225.0
1992-06-27,20273.0
1992-07-04,21339.0
1992-07-11,32581.0
1992-07-18,24399.0
1992-07-25,20796.0
1992-08-01,19602.0
1992-08-08,20483.0
1992-08-15,18334.0
1992-08-22,18665.0
1992-08-29,17515.0
1992-09-05,18549.0
1992-09-12,16649.0
1992-09-19,17719.0
1992-09-26,17335.0
1992-10-03,18338.0
1992-10-10,21777.0
1992-10-17,17141.0
1992-10-24,18891.0
1992-10-31,19234.0
1992-11-07,23534.0
1992-11-14,21736.0
1992-11-21,21960.0
1992-11-28,18245.0
1992-12-05,31137.0
1992-12-12,24164.0
1992-12-19,26635.0
1992-12-26,26118.0
1993-01-02,36525.0
1993-01-09,45468.0
1993-01-16,31423.0
1993-01-23,23115.0
1993-01-30,21736.0
1993-02-06,21745.0
1993-02-13,19284.0
1993-02-20,19061.0
1993-02-27,21156.0
1993-03-06,20667.0
1993-03-13,18930.0
1993-03-20,20777.0
1993-03-27,22779.0
1993-04-03,20384.0
1993-04-10,23702.0
1993-04-17,19037.0
1993-04-24,16881.0
1993-05-01,16207.0
1993-05-08,16532.0
1993-05-15,16394.0
1993-05-22,17054.0
1993-05-29,17251.0
1993-06-05,17145.0
1993-06-12,18425.0
1993-06-19,18914.0
1993-06-26,18442.0
1993-07-03,20029.0
1993-07-10,21435.0
1993-07-17,19732.0
1993-07-24,16165.0
1993-07-31,15247.0
1993-08-07,16090.0
1993-08-14,14768.0
1993-08-21,15279.0
1993-08-28,14829.0
1993-09-04,15192.0
1993-09-11,13421.0
1993-09-18,15205.0
1993-09-25,15020.0
1993-10-02,17447.0
1993-10-09,20535.0
1993-10-16,15584.0
1993-10-23,17314.0
1993-10-30,17200.0
1993-11-06,21911.0
1993-11-13,17904.0
1993-11-20,21126.0
1993-11-27,16307.0
1993-12-04,27414.0
1993-12-11,24425.0
1993-12-18,22934.0
1993-12-25,25067.0
1994-01-01,36491.0
1994-01-08,40041.0
1994-01-15,40835.0
1994-01-22,26125.0
1994-01-29,36570.0
1994-02-05,31412.0
1994-02-12,20952.0
1994-02-19,25454.0
1994-02-26,19635.0
1994-03-05,21502.0
1994-03-12,24341.0
1994-03-19,19631.0
1994-03-26,17849.0
1994-04-02,17778.0
1994-04-09,24384.0
1994-04-16,21008.0
1994-04-23,19606.0
1994-04-30,17254.0
1994-05-07,21781.0
1994-05-14,17400.0
1994-05-21,17746.0
1994-05-28,17243.0
1994-06-04,16563.0
1994-06-11,17576.0
1994-06-18,18584.0
1994-06-25,19886.0
1994-07-02,20250.0
1994-07-09,24923.0
1994-07-16,20814.0
1994-07-23,17008.0
1994-07-30,16246.0
1994-08-06,17322.0
1994-08-13,15457.0
1994-08-20,15215.0
1994-08-27,14732.0
1994-09-03,15888.0
1994-09-10,14093.0
1994-09-17,14667.0
1994-09-24,14567.0
1994-10-01,14840.0
1994-10-08,20068.0
1994-10-15,15005.0
1994-10-22,16820.0
1994-10-29,16565.0
1994-11-05,19466.0
1994-11-12,16102.0
1994-11-19,21139.0
1994-11-26,17530.0
1994-12-03,29827.0
1994-12-10,25705.0
1994-12-17,23653.0
1994-12-24,25604.0
1994-12-31,37137.0
1995-01-07,43522.0
1995-01-14,36658.0
1995-01-21,25167.0
1995-01-28,25650.0
1995-02-04,23618.0
1995-02-11,27702.0
1995-02-18,22444.0
1995-02-25,18512.0
1995-03-04,21104.0
1995-03-11,20483.0
1995-03-18,18995.0
1995-03-25,18108.0
1995-04-01,17496.0
1995-04-08,25604.0
1995-04-15,20702.0
1995-04-22,19716.0
1995-04-29,18326.0
1995-05-06,21573.0
1995-05-13,19069.0
1995-05-20,20301.0
1995-05-27,20013.0
1995-06-03,18366.0
1995-06-10,21873.0
1995-06-17,23827.0
1995-06-24,20419.0
1995-07-01,20166.0
1995-07-08,27312.0
1995-07-15,25527.0
1995-07-22,20210.0
1995-07-29,17950.0
1995-08-05,18950.0
1995-08-12,17281.0
1995-08-19,15796.0
1995-08-26,16440.0
1995-09-02,17212.0
1995-09-09,16621.0
1995-09-16,17269.0
1995-09-23,16031.0
1995-09-30,16068.0
1995-10-07,23638.0
1995-10-14,18103.0
1995-10-21,19427.0
1995-10-28,19029.0
1995-11-04,22621.0
1995-11-11,19824.0
1995-11-18,32160.0
1995-11-25,22236.0
1995-12-02,33519.0
1995-12-09,26989.0
1995-12-16,28920.0
1995-12-23,33583.0
1995-12-30,41214.0
1996-01-06,36082.0
1996-01-13,40989.0
1996-01-20,49281.0
1996-01-27,43233.0
1996-02-03,29018.0
1996-02-10,27879.0
1996-02-17,21910.0
1996-02-24,20491.0
1996-03-02,21647.0
1996-03-09,21714.0
1996-03-16,22448.0
1996-03-23,21457.0
1996-03-30,19136.0
1996-04-06,21040.0
1996-04-13,23269.0
1996-04-20,19378.0
1996-04-27,17457.0
1996-05-04,19334.0
1996-05-11,20514.0
1996-05-18,17910.0
1996-05-25,18120.0
1996-06-01,17607.0
1996-06-08,21941.0
1996-06-15,20649.0
1996-06-22,20365.0
1996-06-29,19168.0
1996-07-06,21684.0
1996-07-13,24727.0
1996-07-20,20587.0
1996-07-27,17520.0
1996-08-03,17032.0
1996-08-10,16465.0
1996-08-17,15492.0
1996-08-24,14938.0
1996-08-31,14244.0
1996-09-07,15014.0
1996-09-14,15855.0
1996-09-21,15129.0
1996-09-28,14612.0
1996-10-05,16863.0
1996-10-12,19741.0
1996-10-19,15149.0
1996-10-26,17900.0
1996-11-02,17414.0
1996-11-09,19430.0
1996-11-16,20026.0
1996-11-23,21993.0
1996-11-30,18171.0
1996-12-07,31145.0
1996-12-14,26075.0
1996-12-21,26877.0
1996-12-28,37302.0
1997-01-04,32898.0
1997-01-11,41330.0
1997-01-18,33946.0
1997-01-25,25096.0
1997-02-01,24220.0
1997-02-08,21241.0
1997-02-15,20733.0
1997-02-22,18524.0
1997-03-01,18354.0
1997-03-08,20759.0
1997-03-15,18484.0
1997-03-22,16516.0
1997-03-29,16534.0
1997-04-05,19856.0
1997-04-12,21858.0
1997-04-19,17825.0
1997-04-26,17219.0
1997-05-03,16571.0
1997-05-10,18153.0
1997-05-17,16287.0
1997-05-24,16239.0
1997-05-31,15037.0
1997-06-07,20689.0
1997-06-14,21869.0
1997-06-21,20241.0
1997-06-28,16458.0
1997-07-05,19435.0
1997-07-12,22659.0
1997-07-19,17072.0
1997-07-26,16163.0
1997-08-02,15036.0
1997-08-09,16584.0
1997-08-16,17514.0
1997-08-23,16098.0
1997-08-30,16866.0
1997-09-06,14273.0
1997-09-13,15360.0
1997-09-20,14282.0
1997-09-27,13857.0
1997-10-04,15574.0
1997-10-11,17860.0
1997-10-18,15045.0
1997-10-25,16858.0
1997-11-01,18318.0
1997-11-08,19951.0
1997-11-15,19419.0
1997-11-22,22829.0
1997-11-29,19124.0
1997-12-06,30850.0
1997-12-13,24674.0
1997-12-20,23234.0
1997-12-27,34226.0
1998-01-03,38693.0
1998-01-10,52488.0
1998-01-17,37425.0
1998-01-24,25708.0
1998-01-31,25147.0
1998-02-07,24439.0
1998-02-14,21685.0
1998-02-21,20229.0
1998-02-28,21022.0
1998-03-07,22866.0
1998-03-14,21676.0
1998-03-21,21140.0
1998-03-28,17724.0
1998-04-04,17706.0
1998-04-11,22584.0
1998-04-18,19882.0
1998-04-25,17503.0
1998-05-02,17393.0
1998-05-09,18958.0
1998-05-16,18720.0
1998-05-23,17019.0
1998-05-30,15897.0
1998-06-06,20073.0
1998-06-13,23320.0
1998-06-20,23242.0
1998-06-27,20567.0
1998-07-04,19967.0
1998-07-11,27533.0
1998-07-18,18703.0
1998-07-25,16335.0
1998-08-01,16290.0
1998-08-08,17142.0
1998-08-15,15240.0
1998-08-22,15264.0
1998-08-29,14441.0
1998-09-05,16044.0
1998-09-12,14317.0
1998-09-19,14008.0
1998-09-26,14078.0
1998-10-03,16495.0
1998-10-10,19121.0
1998-10-17,15429.0
1998-10-24,16917.0
1998-10-31,17242.0
1998-11-07,20428.0
1998-11-14,18417.0
1998-11-21,21337.0
1998-11-28,18547.0
1998-12-05,31134.0
1998-12-12,23880.0
1998-12-19,22416.0
1998-12-26,32471.0
1999-01-02,40242.0
1999-01-09,51756.0
1999-01-16,35612.0
1999-01-23,31859.0
1999-01-30,25213.0
1999-02-06,23374.0
1999-02-13,20515.0
1999-02-20,18924.0
1999-02-27,20073.0
1999-03-06,21037.0
1999-03-13,20122.0
1999-03-20,18764.0
1999-03-27,18109.0
1999-04-03,17300.0
1999-04-10,22983.0
1999-04-17,18376.0
1999-04-24,16670.0
1999-05-01,15897.0
1999-05-08,18023.0
1999-05-15,16162.0
1999-05-22,15289.0
1999-05-29,15311.0
1999-06-05,16395.0
1999-06-12,19955.0
1999-06-19,21298.0
1999-06-26,17454.0
1999-07-03,18879.0
1999-07-10,20263.0
1999-07-17,17347.0
1999-07-24,15486.0
1999-07-31,15227.0
1999-08-07,15623.0
1999-08-14,14747.0
1999-08-21,13831.0
1999-08-28,13594.0
1999-09-04,14666.0
1999-09-11,12994.0
1999-09-18,13386.0
1999-09-25,13644.0
1999-10-02,13881.0
1999-10-09,16592.0
1999-10-16,13500.0
1999-10-23,14755.0
1999-10-30,13644.0
1999-11-06,16710.0
1999-11-13,15166.0
1999-11-20,18329.0
1999-11-27,17557.0
1999-12-04,27468.0
1999-12-11,20631.0
1999-12-18,21789.0
1999-12-25,24413.0
2000-01-01,37196.0
2000-01-08,35706.0
2000-01-15,34029.0
2000-01-22,24666.0
2000-01-29,25560.0
2000-02-05,25093.0
2000-02-12,20224.0
2000-02-19,17297.0
2000-02-26,15476.0
2000-03-04,16594.0
2000-03-11,15340.0
2000-03-18,14379.0
2000-03-25,14202.0
2000-04-01,14193.0
2000-04-08,16808.0
2000-04-15,14048.0
2000-04-22,16393.0
2000-04-29,16199.0
2000-05-06,15814.0
2000-05-13,14844.0
2000-05-20,14512.0
2000-05-27,14988.0
2000-06-03,14693.0
2000-06-10,19802.0
2000-06-17,19769.0
2000-06-24,17412.0
2000-07-01,15973.0
2000-07-08,20431.0
2000-07-15,18588.0
2000-07-22,15310.0
2000-07-29,13637.0
2000-08-05,14699.0
2000-08-12,14813.0
2000-08-19,13934.0
2000-08-26,13775.0
2000-09-02,13646.0
2000-09-09,12365.0
2000-09-16,12800.0
2000-09-23,12170.0
2000-09-30,12785.0
2000-10-07,17269.0
2000-10-14,14171.0
2000-10-21,15010.0
2000-10-28,14523.0
2000-11-04,17870.0
2000-11-11,14960.0
2000-11-18,20347.0
2000-11-25,19086.0
2000-12-02,29323.0
2000-12-09,25096.0
2000-12-16,21922.0
2000-12-23,28252.0
2000-12-30,38235.0
2001-01-06,36474.0
2001-01-13,41641.0
2001-01-20,25704.0
2001-01-27,26861.0
2001-02-03,24890.0
2001-02-10,23515.0
2001-02-17,21348.0
2001-02-24,20724.0
2001-03-03,20198.0
2001-03-10,25294.0
2001-03-17,23241.0
2001-03-24,20313.0
2001-03-31,19045.0
2001-04-07,23938.0
2001-04-14,20825.0
2001-04-21,23186.0
2001-04-28,20197.0
2001-05-05,21024.0
2001-05-12,20377.0
2001-05-19,19666.0
2001-05-26,20613.0
2001-06-02,21447.0
2001-06-09,25271.0
2001-06-16,24908.0
2001-06-23,25119.0
2001-06-30,20645.0
2001-07-07,30051.0
2001-07-14,25591.0
2001-07-21,19257.0
2001-07-28,18226.0
2001-08-04,19236.0
2001-08-11,19197.0
2001-08-18,18134.0
2001-08-25,17465.0
2001-09-01,18469.0
2001-09-08,19462.0
2001-09-15,17655.0
2001-09-22,18395.0
2001-09-29,21505.0
2001-10-06,24676.0
2001-10-13,23485.0
2001-10-20,22195.0
2001-10-27,22247.0
2001-11-03,25873.0
2001-11-10,25237.0
2001-11-17,22795.0
2001-11-24,24884.0
2001-12-01,41465.0
2001-12-08,29534.0
2001-12-15,25490.0
2001-12-22,31341.0
2001-12-29,51261.0
2002-01-05,43991.0
2002-01-12,45697.0
2002-01-19,28813.0
2002-01-26,27011.0
2002-02-02,25481.0
2002-02-09,25694.0
2002-02-16,22300.0
2002-02-23,23166.0
2002-03-02,21835.0
2002-03-09,22760.0
2002-03-16,19931.0
2002-03-23,22802.0
2002-03-30,23384.0
2002-04-06,25547.0
2002-04-13,22197.0
2002-04-20,18333.0
2002-04-27,17952.0
2002-05-04,21444.0
2002-05-11,18714.0
