fiscal_year,RTTBase
2000,636671644.3291309
2001,1586194501.981986
2002,2354253693.4744525
2003,3337830523.3826284
2004,4371615900.486147
2005,5163100864.74164
2006,6642661938.26683
2007,6743485028.817036
2008,5737386549.979458
2009,4070444748.406072
2010,3979314426.332885
2011,4048847169.1363425
2012,4427196240.565528
2013,4868669717.199132
2014,5864696606.845199
2015,6968158268.860231
2016,8069255506.817078
2017,8293644264.265196
2018,9006090485.319313
2019,8935426598.771475
2020,8695269063.748829
2021,9436775963.047834
2022,17707146971.20439
2023,12392806922.457727
2024,10502292992.688726
2025,10355944031.04085
2026,12169780970.794008
2027,14546706786.026829
2028,15974129844.385874
