fiscal_year,WageBase,SalesBase,NetIncomeBase,GrossReceiptsBase,RTTBase,ParkingBase,AmusementBase,NPTBase,BIRTBase
1996,,,,,,92906286.60000002,61331493.2,,0.0
1997,11896878667.587149,4380651100.000002,2246734953.872308,2224107556.891526,791339569.3333334,187846524.26666668,182149355.2,256529903.67939216,4470842510.763834
1998,24645837849.270355,9709531800.000006,2360051109.364615,2397228978.1321735,2681334022.3333335,197303415.2,188035577.2,298084433.93809867,4757280087.496788
1999,26231079215.05684,9920677399.999994,2478776447.566153,2608557013.6288295,2425830982.66667,209102361.4,195865906.6,390606143.4368092,5087333461.194983
2000,28043656224.949535,12246460300.00001,2817527816.8015385,3104904867.845284,2674940440.0,220481244.60000002,230833709.4,300013780.566895,5922432684.646822
2001,30063258373.54148,11130417400.0,3186910790.206154,3685823069.1722784,2567509658.3333335,256937646.4,258815111.2,322442776.8393941,6872733859.378432
2002,29048547922.66703,10809393800.000004,2824451637.512307,3436757276.320834,3224426132.0000005,252919187.6666667,276715661.8,349914158.0087849,6261208913.833141
2003,29529557531.115913,10797116099.999998,2974932292.015384,3777245474.7391315,3410568420.3333335,258283448.80000007,282801413.99999994,307946820.9438546,6752177766.754516
2004,30346123990.20733,10796928899.99999,3304957237.9384613,4595920520.666666,4711514697.33334,283031688.40000004,366245187.1999999,351512132.6338694,7900877758.605127
2005,32779487454.911476,11987931400.0,4033975648.056924,6200199031.910528,6408873148.666659,300224651.93333334,271246350.4,384051986.799244,10234174679.967453
2006,34670456630.7554,12781707200.000002,4414904295.816923,7743423559.273273,7880994950.333342,318484249.66666675,339400275.6,384142524.81123495,12158327855.090197
2007,36899152313.74479,13257224599.999992,4774028323.886153,8230330519.961039,7244306134.999999,331038908.73333335,329081516.6,357610733.54494876,13004358843.84719
2008,37762316013.99114,13727515300.000013,4637563262.790698,7046474215.547703,6134936579.999999,365094551.8666668,359673682.8,324945772.37568176,11684037478.338402
2009,38730599000.885925,12823188999.999992,4488076556.860465,6819338937.985865,3837766347.3333325,347276123.40000004,427585639.1999999,343349093.7909083,11307415494.846329
2010,38923075437.640724,13722425800.0,4240733977.3255825,6443518057.420496,3974517680.6666684,345886216.7,437007528.8,437316430.94648814,10684252034.746078
2011,39832260003.85799,12229236500.000006,4324630323.289923,6926181885.35689,3888116775.0,350364467.25,415333865.8,208193424.98106787,11250812208.646812
2012,42120389938.13124,12676158049.999994,4467375949.274419,7154798459.491167,3978816529.0,347292378.29999995,438215614.59999996,442186234.4154844,11622174408.765587
2013,43084151309.941536,12877491499.999987,5173244365.03876,8285293477.385159,4932257053.33333,358953567.85,381618155.4,625757836.9689645,13458537842.42392
2014,44428939128.226006,13152472100.0,5312982968.933126,8482709318.558305,5602252435.666659,368618935.29999995,399471286.1999999,479288452.19496155,13795692287.491432
2015,46716470708.679474,13722541591.000015,5059185799.063962,8052372316.607775,6779011066.666665,390703690.0,380094620.0,536105023.0816431,13111558115.671738
2016,48502328213.466385,14552251765.000006,5491187747.724569,8712691551.971731,7911557294.999999,411842329.4666667,387942029.4,854277590.094378,14203879299.6963
2017,51374745802.87686,15450864841.999994,4865657018.444094,7671855350.445229,8107876959.016388,427134902.6222222,411545927.0,930517354.4241785,12537512368.889322
2018,54990525101.159744,15940993800.000006,5168757735.688889,8511599698.34629,10694091744.193544,428766466.1777778,459398967.6,1014201465.4931986,13680357434.03518
2019,56636324451.762955,17297234500.000008,6317403997.9328,10320556896.763252,10019709755.948753,441387142.7555555,528116796.1999999,1085729543.9043887,16637960894.696053
2020,57342170147.599106,16251363799.0,6290238854.796775,10193968578.27562,9755770370.957893,343404766.6222222,368917391.2,833603569.9639677,16484207433.072395
2021,53667732916.33156,16509173524.509985,6084279193.548388,9860190106.007067,9130780964.002441,205940000.0,45380000.0,732118062.9773061,15944469299.555454
2022,56447396385.44712,17444858403.944454,6302385282.878143,10240821320.339455,9018014420.841177,306053976.2878826,241857803.54836333,1000640057.6364983,16543206603.217598
2023,59154854896.19635,17851366430.695892,6496247497.1443405,10580839600.425968,9460594533.669535,367751940.88531977,397618883.4426649,960999040.5112216,17077087097.570309
2024,62589911439.68762,18327779841.282047,6686497789.399155,10896483677.555346,9858599189.610321,401290592.7481397,462618814.8275782,994992030.4735856,17582981466.9545
2025,65847708992.56535,18826455557.91835,6879450370.056847,11208999575.86791,10328105293.475065,415323401.13792944,493857782.76524127,1028165549.4440204,18088449945.92476
2026,68883687367.4666,19354431599.021057,7071431204.283758,11521094867.281357,10873817105.871635,429356209.52771914,515380689.4488274,1048209250.25267,18592526071.565117
