fiscal_year,WageBase,SalesBase,NetIncomeBase,GrossReceiptsBase,ParkingBase,AmusementBase,RTTBase,NPTBase,BIRTBase
1997,12002034023.533089,4380651100.000002,2246734953.872308,2224107556.891526,96568473.13333344,79422951.59999998,,259472070.18415815,4470842510.763834
1998,24868235799.83433,9709531800.000006,2360051109.364615,2397228978.1321735,197303415.2,188035577.2,,301635000.3827419,4757280087.496788
1999,26478199003.034992,9920677399.999994,2478776447.566153,2608557013.6288295,209102361.39999995,195865906.60000008,,395388017.21788615,5087333461.194983
2000,28316188761.884296,12246460300.00001,2817527816.8015385,3104904867.845284,220481244.60000005,230833709.40000015,646495773.3076637,303755493.7714508,5922432684.646822
2001,30361556778.879124,11130417400.0,3186910790.206154,3685823069.1722784,256937646.40000013,258815111.19999987,1601014114.52307,326504304.93625265,6872733859.378432
2002,29340099406.18498,10809393800.000004,2824451637.512307,3436757276.320834,252919187.66666672,276715661.79999995,2366358833.0699573,354387065.54415274,6261208913.833141
2003,29830883634.893528,10797116099.999998,2974932292.015384,3777245474.7391315,258283448.80000022,282801413.99999976,3355373052.5311923,311394252.7944789,6752177766.754516
2004,30596889014.00717,10796928899.99999,3304957237.9384613,4595920520.666666,283031688.4,366245187.2000002,4390988471.176254,356070915.122908,7900877758.605127
2005,33140746075.06648,11987931400.0,4033975648.056924,6200199031.910528,300224651.9333335,271246350.39999986,5178474598.425135,389445986.71384424,10234174679.967453
2006,35069668412.397354,12781707200.000004,4414904295.816923,7743423559.273273,318484249.6666665,339400275.6,6652556810.595311,389540745.8488441,12158327855.090197
2007,37330242959.67431,13257224599.999992,4774028323.886153,8230330519.961039,331038908.7333333,329081516.6000001,6720605852.718575,362811419.43816656,13004358843.84719
2008,38216377190.53637,13727515300.000011,4637563262.790698,7046474215.547703,365094551.8666666,359673682.79999995,5687345731.201303,330273107.63495594,11684037478.338402
2009,39272381864.56525,12823188999.999992,4488076556.860465,6819338937.985865,347276123.4,427585639.1999999,4017269270.033017,349111430.5185041,11307415494.846329
2010,39474976488.91679,13722425799.999998,4240733977.3255825,6443518057.420496,345886216.69999975,437007528.8000004,3931356061.3794737,444661457.59482276,10684252034.746078
2011,40397560212.75579,12229236500.000004,4324630323.289923,6926181885.35689,350364467.2500001,415333865.7999998,4002928080.368207,211690175.03727847,11250812208.646812
2012,42718163331.57103,12676158049.999996,4467375949.274419,7154798459.491167,347292378.30000013,438215614.5999999,4407247496.977425,449613052.72249174,11622174408.765587
2013,43695602423.51971,12877491499.999989,5173244365.03876,8285293477.385159,358953567.84999985,381618155.39999986,4887813382.147903,636285772.2636006,13458537842.42392
2014,45060637005.398834,13152472099.999998,5312982968.933126,8482709318.558305,368618935.29999983,399471286.19999975,5904310546.995689,487365896.88883317,13795692287.491432
2015,47381917755.16186,13722541591.000015,5059185799.063962,8052372316.607775,390703689.9999999,380094620.0,7037146152.232027,545177358.0245613,13111558115.671738
2016,49196273410.29748,14552251765.000004,5491187747.724569,8712691551.971731,411842329.46666694,387942029.39999986,8168139644.988712,868794202.7860916,14203879299.6963
2017,52113051033.823326,15450864841.999996,4865657018.444094,7671855350.445229,427134902.6222224,411545926.9999999,8393704651.748461,946393938.3262756,12537512368.889322
2018,55784216298.27957,15940993800.000004,5168757735.688889,8511599698.34629,428766466.1777775,459398967.59999985,9112455107.990105,1031505876.4039404,13680357434.03518
2019,57457416147.72049,17297234500.00001,6317403997.9328,10320556896.763252,441387142.75555575,528116796.20000005,9027956424.370426,1104331611.8682482,16637960894.696053
2020,58177181576.914345,16251363799.0,6290238854.796774,10193968578.27562,343404766.62222254,368917391.20000005,8772369512.847683,847945077.2064918,16484207433.072393
2021,52568685425.52057,17553210699.999985,6376888631.575807,10334393309.70318,212847315.76,58363572.799999945,9433119339.300154,1583423488.3707678,16711281941.278988
2022,60693030551.82523,19934702530.499985,8829057284.835484,14308380749.130745,384982459.0666667,521093812.99999994,17611739172.77499,831201538.7714616,23137438033.96623
2023,64173517174.46875,20594256668.075005,8948666176.961603,10934904310.954062,451506666.66666627,646299999.9999995,11963697604.616743,1565385424.8378522,19883570487.915665
2024,66039024722.55579,21863635581.555748,8873291548.623743,11752477405.215221,487488815.79208225,666105981.2730951,10229409471.887774,1291602957.9169748,20625768953.838966
2025,68639663913.84478,22616787669.582176,9036706787.243195,11970005293.232004,502923603.8629544,702165343.3234318,10080969841.26248,1562587838.4199862,21006712080.475197
2026,71602193066.59274,23202574542.411724,9233339034.308357,12465620221.857903,519769640.5619831,737043220.9227512,11808020397.642729,1444387579.8023098,21698959256.16626
2027,74656094336.28358,23858528274.274254,9432908786.500996,12796856043.709093,538693162.2446066,773332161.142075,14025768155.635445,1594916501.0226433,22229764830.21009
2028,77796858099.12729,24473394013.05411,9625395556.77683,13092408770.088785,557741569.3144587,811395465.3259001,15341240796.596674,1563445550.0867112,22717804326.865616
